subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,friend_dif,self_dif,stranger_dif
1,A,695.6509434,651.0377358,808.98,850.2205882,825.8333333,842.6875,154.5696448,174.7955975,33.7075
2,A,665.2952381,801.36,776.3762376,883.1956522,887.2272727,915.4393939,217.9004141,85.8672727,139.0631563
3,A,646.7075472,590.1121495,692.9072165,718.969697,690.1617647,709.028169,72.2621498,100.0496152,16.1209525
4,A,852.8235294,817.7065217,875.6568627,999.9137931,1001.516667,949.5373134,147.0902637,183.8101453,73.8804507
5,A,702.9072165,854.5280899,720.1764706,948.9574468,937.3272727,883.4693878,246.0502303,82.7991828,163.2929172
6,A,730.07,707.255102,813.3663366,834.3214286,789.9365079,813.5,104.2514286,82.6814059,0.1336634
7,A,667.6860465,608.2970297,769.609375,772.7,787.9375,761.0526316,105.0139535,179.6404703,8.5567434
8,A,778.2314815,730.7714286,874.6153846,856.3380282,879.8857143,864.7826087,78.1065467,149.1142857,9.8327759
9,A,822.6336634,851.5714286,959.628866,974.8709677,999.0491803,1014.59322,152.2373043,147.4777517,54.964354
10,A,618.6372549,614.3076923,645.8942308,766.2833333,808.7021277,785.4074074,147.6460784,194.3944354,139.5131766
11,A,746.7826087,684.1836735,814.9534884,748.5909091,790.1449275,719.9846154,1.8083004,105.961254,94.968873
12,A,643.3673469,605.54,616.8316832,746.637931,791.3636364,773.8615385,103.2705841,185.8236364,157.0298553
13,A,845.1212121,646.5471698,874.3296703,900.2089552,858.5166667,895,55.0877431,211.9694969,20.6703297
14,A,845.1935484,663.6635514,795.8598131,881.5862069,815.6086957,851.7714286,36.3926585,151.9451443,55.9116155
15,A,558.5769231,577.8076923,604.2307692,670.4347826,655.2857143,624.05,111.8578595,77.478022,19.8192308
16,A,763.9223301,619.7962963,787.7113402,866.0153846,858.9166667,923.4923077,102.0930545,239.1203704,135.7809675
17,A,814.247191,801.9186047,809.2588235,923.244898,928.3269231,876.2264151,108.997707,126.4083184,66.9675916
18,A,1183.595238,1064.14,1145.988636,1191.213115,1196.466667,1195.915254,7.617877,132.326667,49.926618
19,A,896.8604651,740.6315789,845.38,912.4920635,875.9710145,930.6451613,15.6315984,135.3394356,85.2651613
20,A,664.8039216,649.0485437,683.72,759.1875,766.6774194,785.2741935,94.3835784,117.6288757,101.5541935
21,A,604.6021505,573.8252427,631.8941176,674.2413793,629.1774194,666.0615385,69.6392288,55.3521767,34.1674209
22,A,632.0430108,584.1333333,567.9029126,674.7894737,694.9583333,684.1833333,42.7464629,110.825,116.2804207
23,A,675.1414141,669.4,672.9178082,817.8928571,756.4516129,791.6825397,142.751443,87.0516129,118.7647315
24,A,538.1238095,483.9074074,614.7045455,656.3392857,647.8571429,655.2586207,118.2154762,163.9497355,40.5540752
1,B,836.875,630.7183099,849.9787234,839.7608696,770.6896552,844.3333333,2.8858696,139.9713453,5.6453901
2,B,723.7931034,608.2028986,714.7288136,701.3684211,681.0707071,711.5257732,22.4246823,72.8678085,3.2030404
3,B,634.2765957,616.6216216,658.9152542,669.8372093,682.5604396,659.3214286,35.5606136,65.938818,0.4061744
4,B,792.44,593.5373134,763.5,761.7052632,664.1836735,729.9479167,30.7347368,70.6463601,33.5520833
5,B,774.1886792,749.5438596,762.1162791,833.1954023,789.2659574,788.6344086,59.0067231,39.7220978,26.5181295
6,B,747.28125,626.2,766.4745763,728.7238095,689.8163265,714.0660377,18.5574405,63.6163265,52.4085386
7,B,838.5932203,677.880597,842.5,838.1084337,811.185567,774.2840909,0.4847866,133.30497,68.2159091
8,B,820.22,826.4918033,733.1363636,853.1304348,908.8979592,798.5392157,32.9104348,82.4061559,65.4028521
9,B,882.0909091,881.5362319,961.0819672,1014.777778,970.13,990.9903846,132.6868689,88.5937681,29.9084174
10,B,698.5714286,657.5694444,774.6727273,768.6039604,745.5769231,738.2020202,70.0325318,88.0074787,36.4707071
11,B,845.3166667,881.25,944.8888889,940.69,929.8709677,955.4166667,95.3733333,48.6209677,10.5277778
12,B,849.92,732.1333333,909.4545455,728.2164948,714.6590909,721.5,121.7035052,17.4742424,187.9545455
13,B,826.3880597,754.7746479,862.7142857,962.0638298,838.755102,922.1980198,135.6757701,83.9804541,59.4837341
14,B,755.2741935,742.5735294,838.1587302,791,786.3173077,841.6930693,35.7258065,43.7437783,3.5343391
15,B,800.2,676.0597015,757.9423077,798.8350515,787.7282609,810.6333333,1.3649485,111.6685594,52.6910256
16,B,874.4444444,875.6779661,908.9622642,895.627907,933.59375,949.0666667,21.1834626,57.9157839,40.1044025
17,B,881.8730159,619.2714286,934.0526316,813.576087,800.9896907,888.0238095,68.2969289,181.7182621,46.0288221
18,B,861.1052632,700.4925373,828.1568627,914.2916667,866.2268041,806.4848485,53.1864035,165.7342668,21.6720142
19,B,907.8545455,773.4411765,948.2745098,967.505618,905.5168539,953.2222222,59.6510725,132.0756774,4.9477124
20,B,724.75,777.1923077,846.75,761.7126437,778.7849462,797.8072289,36.9626437,1.5926385,48.9427711
21,B,724.2083333,1029.479167,1050.723404,920.35,913.8969072,1016.21978,196.1416667,115.5822598,34.503624
23,B,860.9402985,874.9117647,963.4848485,959.2022472,965.7184466,959.0594059,98.2619487,90.8066819,4.4254426
24,B,656.3142857,610.3529412,690.4354839,690.7623762,683.184466,669.6470588,34.4480905,72.8315248,20.7884251
