subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch
1,836.875,630.7183098591549,849.9787234042553,839.7608695652174,770.6896551724138,844.3333333333334
2,723.7931034482758,608.2028985507246,714.728813559322,701.3684210526316,681.070707070707,711.5257731958762
3,634.2765957446809,616.6216216216217,658.9152542372881,669.8372093023256,682.5604395604396,659.3214285714286
4,792.44,593.5373134328358,763.5,761.7052631578947,664.1836734693877,729.9479166666666
5,774.188679245283,749.5438596491229,762.1162790697674,833.1954022988506,789.2659574468086,788.6344086021505
6,747.28125,626.2,766.4745762711865,728.7238095238096,689.8163265306123,714.066037735849
7,838.5932203389831,677.8805970149253,842.5,838.1084337349398,811.1855670103092,774.2840909090909
8,820.22,826.4918032786885,733.1363636363636,853.1304347826087,908.8979591836735,798.5392156862745
9,882.0909090909091,881.536231884058,961.0819672131148,1014.7777777777778,970.13,990.9903846153846
10,698.5714285714286,657.5694444444445,774.6727272727272,768.6039603960396,745.5769230769231,738.2020202020202
11,845.3166666666667,881.25,944.8888888888889,940.69,929.8709677419355,955.4166666666666
12,849.92,732.1333333333333,909.4545454545455,728.2164948453608,714.6590909090909,721.5
13,826.3880597014926,754.7746478873239,862.7142857142857,962.063829787234,838.7551020408164,922.1980198019802
14,755.2741935483871,742.5735294117648,838.1587301587301,791,786.3173076923077,841.6930693069307
15,800.2,676.0597014925373,757.9423076923077,798.8350515463917,787.7282608695652,810.6333333333333
16,874.4444444444445,875.6779661016949,908.9622641509434,895.6279069767442,933.59375,949.0666666666667
17,881.8730158730159,619.2714285714286,934.0526315789474,813.5760869565217,800.9896907216495,888.0238095238095
18,861.1052631578947,700.4925373134329,828.156862745098,914.2916666666666,866.2268041237113,806.4848484848485
19,907.8545454545455,773.4411764705883,948.2745098039215,967.5056179775281,905.5168539325842,953.2222222222222
20,724.75,777.1923076923077,846.75,761.7126436781609,778.7849462365591,797.8072289156627
21,724.2083333333334,1029.4791666666667,1050.723404255319,920.35,913.8969072164948,1016.2197802197802
23,860.9402985074627,874.9117647058823,963.4848484848485,959.2022471910112,965.7184466019418,959.059405940594
24,656.3142857142857,610.3529411764706,690.4354838709677,690.7623762376238,683.1844660194175,669.6470588235294
