subj_idx,朋友_match_friend,生人_match_friend,自我_match_friend,朋友_mismatch_friend,生人_mismatch_friend,自我_mismatch_friend,朋友_match_self,生人_match_self,自我_match_self,朋友_mismatch_self,生人_mismatch_self,自我_mismatch_self,朋友_match_stranger,生人_match_stranger,自我_match_stranger,朋友_mismatch_stranger,生人_mismatch_stranger,自我_mismatch_stranger
1,777.2264150943396,947.2448979591836,807.3928571428571,985.8913043478261,1008.1489361702128,962.125,879.8793103448276,852.3921568627451,726.1034482758621,945.377358490566,986.2,857.9056603773585,829.9411764705883,804.88679245283015,827.8275862068965,935.6551724137931,850.5106382978723,900.9454545454546
3,764.2962962962963,783.6981132075472,876.7111111111111,956.1136363636364,874.4137931034483,993.7924528301887,862.6730769230769,998.9166666666666,736.5892857142857,1071.4444444444443,1059.9056603773586,980.0217391304348,822.5686274509804,830.8888888888889,784.9444444444445,1004.8,821.88,888.6
5,761.1607142857143,806.8301886792453,924.5,900.2916666666666,1022.6585365853658,1077.391304347826,874.6862745098039,775.9622641509434,879.3061224489796,1026.6904761904761,988.8048780487804,950.3333333333334,790.5925925925926,765.94,899.9285714285714,934.9318181818181,909.695652173913,952.0222222222222
6,683.0666666666667,870.7647058823529,746.0526315789474,932.843137254902,1036.7659574468084,964.1372549019608,739.7627118644068,825,674.2833333333333,976.421052631579,974.1379310344828,897.5438596491229,794.2881355932203,736.2545454545455,724.7,1053.2307692307693,914.5106382978723,1045.3
7,847.8474576271186,979.8679245283018,828.2203389830509,1088.7674418604652,1147.875,1045.7307692307693,903.3275862068965,974.0377358490566,888.7796610169491,1144.3777777777777,1069.2727272727273,1073.591836734694,1044.4423076923076,970.7777777777778,912.8965517241379,1174.936170212766,1090.3272727272727,1111.7058823529412
9,715.5370370370371,825.2222222222222,835.4912280701755,872.7450980392157,924.4181818181818,1020.7142857142857,897.6140350877193,880.7931034482758,761.0833333333334,964.7413793103449,935.0847457627119,843.14,844.9661016949152,733.457627118644,832.5,962.6428571428571,796.8571428571429,917.051724137931
10,917.1090909090909,926.0434782608696,932.074074074074,1101.2727272727273,967.859649122807,1024.3333333333333,816.6603773584906,946.76,936.4528301886793,968.8571428571429,945.1481481481482,1076.2222222222222,908.58,1043.9803921568628,947.8545454545455,1027.3777777777777,1067.1612903225807,1024.0714285714287
11,732.1228070175439,829.925925925926,856.4545454545455,976.7872340425532,976.8541666666666,1029.423076923077,784.2666666666667,782.25,798.1454545454545,950.4615384615385,980.4237288135594,950.98,829.6964285714286,791.375,817.8301886792453,1012.0526315789474,946.1818181818181,969.7592592592592
15,756.4629629629629,754.5454545454545,862.2545454545455,920.5135135135135,828.2115384615385,890.7142857142857,838.5576923076923,745.3728813559322,767.8666666666667,989.574074074074,846.9,871.2291666666666,753.9322033898305,755.7272727272727,777.7796610169491,910.4561403508771,848.75,886.8363636363637
16,735.1754385964912,888.5178571428571,904.566037735849,870.795918367347,918.3793103448276,1017.9038461538462,733.3220338983051,889.0943396226415,810.7115384615385,876.7692307692307,914.2321428571429,998.5238095238095,696.8245614035088,765.7592592592592,858.2452830188679,901.9411764705883,912.8444444444444,959.5106382978723
19,785.1454545454545,915.1730769230769,840.3636363636364,925.8301886792453,924.7413793103449,981.3898305084746,871.3333333333334,905.1521739130435,743.9649122807018,984.8181818181819,978.6140350877193,876.8166666666667,909.3673469387755,780.7017543859649,732.6779661016949,957.88679245283015,880.3454545454546,902.0178571428571
20,700.1818181818181,827.0263157894736,778.7045454545455,760.28,792.0172413793103,831.6379310344828,737.8333333333334,839.1590909090909,668.859649122807,778,777.7222222222222,885.2820512820513,752.265306122449,711.5090909090909,692,766,836.0930232558139,848.7017543859649
21,707.6779661016949,669.75,733.8070175438596,841.7021276595744,747.8103448275862,826.3207547169811,781.6976744186046,612.8888888888889,597.4915254237288,840.3928571428571,752.7777777777778,778.578947368421,755.1052631578947,612.4827586206897,664.7627118644068,859.948275862069,685.9166666666666,773.8947368421053
22,817.188679245283,814.3035714285714,862.925925925926,955.8301886792453,971.2553191489362,1022.4655172413793,805.0925925925926,801.3103448275862,818.1206896551724,957.1551724137931,1010.3333333333334,1048.6304347826087,794.1607142857143,790.2678571428571,889.5535714285714,893.1833333333333,1026.1,978.2678571428571
23,764.3103448275862,920.4,756.7796610169491,898.953488372093,944.6034482758621,903.5964912280701,968.9183673469388,863.3333333333334,876.8333333333334,1023.7142857142857,933.9607843137255,978.6545454545454,871.62,760.6610169491526,719.6724137931035,953.0208333333334,820.6153846153846,877.4827586206897
24,875.8305084745763,931.1454545454545,858.6333333333333,968.9615384615385,1033.3818181818183,1004.4833333333333,905.9622641509434,951.3272727272728,831.9666666666667,1047.5357142857142,1021.0338983050848,928.5294117647059,938.6379310344828,879.0181818181818,834.05,1027.051724137931,990.7358490566038,1010.3793103448276
25,740.5964912280701,911.56,727.3166666666667,818.2222222222222,909.7321428571429,886.1206896551724,769.6666666666666,828.0338983050848,652.9827586206897,841.2586206896551,820.5,792.0370370370371,802.3508771929825,710.457627118644,716.4827586206897,811.6949152542373,779.8679245283018,836.2068965517242
26,734.8,817.75,798.55,919.6304347826087,864.5666666666667,959.3,781.8474576271186,899.0909090909091,710.6101694915254,893.5593220338983,945.8214285714286,919.02,826.6851851851852,759.2678571428571,789.1071428571429,1001.2068965517242,980.0192307692307,1032.537037037037
29,1042.5283018867924,960.1428571428571,977.4509803921569,981.2,1163.5,1168.909090909091,935.9811320754717,925.5333333333333,951.3571428571429,1165.2682926829268,1154.2380952380952,1114.7666666666667,988.4545454545455,973.75,1015.843137254902,1160.3478260869565,1013.5806451612904,1166.05
