subj_idx,朋友_match_friend,生人_match_friend,自我_match_friend,朋友_mismatch_friend,生人_mismatch_friend,自我_mismatch_friend,朋友_match_self,生人_match_self,自我_match_self,朋友_mismatch_self,生人_mismatch_self,自我_mismatch_self,朋友_match_stranger,生人_match_stranger,自我_match_stranger,朋友_mismatch_stranger,生人_mismatch_stranger,自我_mismatch_stranger,,朋友_self,朋友_friend,朋友_stranger,,生人_self,生人_friend,生人_stranger,,自我_self,自我_friend,自我_stranger,,match_朋友,match_生人,match_自我,,mismatch_朋友,mismatch_生人,mismatch_自我
1,777.2264151,947.244898,807.3928571,985.8913043,1008.148936,962.125,879.8793103,852.3921569,726.1034483,945.3773585,986.2,857.9056604,829.9411765,804.8867925,827.8275862,935.6551724,850.5106383,900.9454545,,912.6283344,881.5588597,882.7981745,,919.2960785,977.696917,827.6987154,,792.0045544,884.7589286,1728.773041,,829.015634,868.1746158,787.812494,,955.6412784,948.2865248,906.9920383
3,764.2962963,783.6981132,876.7111111,956.1136364,874.4137931,993.7924528,862.6730769,998.9166667,736.5892857,1071.444444,1059.90566,980.0217391,822.5686275,830.8888889,784.9444444,1004.8,821.88,888.6,,967.0587605,860.2049664,913.6843138,,1029.411163,829.0559532,826.3844445,,858.3055124,935.251782,1673.544444,,816.5126669,871.1678896,811.9563414,,1010.786027,918.733151,954.138064
5,761.1607143,806.8301887,924.5,900.2916667,1022.658537,1077.391304,874.6862745,775.9622642,879.3061224,1026.690476,988.804878,950.3333333,790.5925926,765.94,899.9285714,934.9318182,909.6956522,952.0222222,,950.6883753,830.7261905,862.7622054,,882.3835711,914.7443629,837.8178261,,914.8197279,1000.945652,1851.950794,,808.8131938,782.9108176,864.7995717,,953.9713203,973.7196891,993.2489532
6,683.0666667,870.7647059,746.0526316,932.8431373,1036.765957,964.1372549,739.7627119,825,674.2833333,976.4210526,974.137931,897.5438596,794.2881356,736.2545455,724.7,1053.230769,914.5106383,1045.3,,858.0918823,807.954902,923.7594523,,899.5689655,953.7653315,825.3825919,,785.9135965,855.0949433,1770,,739.0391714,810.6730838,738.2080335,,987.4983196,975.1381754,968.9937048
7,847.8474576,979.8679245,828.220339,1088.767442,1147.875,1045.730769,903.3275862,974.0377358,888.779661,1144.377778,1069.272727,1073.591837,1044.442308,970.7777778,912.8965517,1174.93617,1090.327273,1111.705882,,1023.852682,968.3074498,1109.689239,,1021.655231,1063.871462,1030.552525,,981.185749,936.975554,2024.602434,,931.8724506,974.8944794,920.4807693,,1136.02713,1102.491667,1077.009496
9,715.537037,825.2222222,835.4912281,872.745098,924.4181818,1020.714286,897.6140351,880.7931034,761.0833333,964.7413793,935.0847458,843.14,844.9661017,733.4576271,832.5,962.6428571,796.8571429,917.0517241,,931.1777072,794.1410675,903.8044794,,907.9389246,874.820202,765.157385,,802.1116667,928.1027571,1749.551724,,819.3723913,813.1576509,813.8468877,,933.3764448,885.4533568,926.96867
10,917.1090909,926.0434783,932.0740741,1101.272727,967.8596491,1024.333333,816.6603774,946.76,936.4528302,968.8571429,945.1481481,1076.222222,908.58,1043.980392,947.8545455,1027.377778,1067.16129,1024.071429,,892.7587602,1009.190909,967.978889,,945.9540741,946.9515637,1055.570841,,1006.337526,978.2037036,1971.925975,,880.7831561,972.2612901,925.7023014,,1032.502549,993.3896957,1041.542328
11,732.122807,829.9259259,856.4545455,976.787234,976.8541667,1029.423077,784.2666667,782.25,798.1454545,950.4615385,980.4237288,950.98,829.6964286,791.375,817.8301887,1012.052632,946.1818182,969.7592593,,867.3641026,854.4550205,920.8745303,,881.3368644,903.3900463,868.7784091,,874.5627273,942.9388113,1787.589448,,782.0286341,801.183642,828.0988095,,979.7671348,967.8199046,983.3874454
15,756.462963,754.5454545,862.2545455,920.5135135,828.2115385,890.7142857,838.5576923,745.3728814,767.8666667,989.5740741,846.9,871.2291667,753.9322034,755.7272727,777.779661,910.4561404,848.75,886.8363636,,914.0658832,838.4882383,832.1941719,,796.1364407,791.3784965,802.2386364,,819.5479167,876.4844156,1664.616025,,782.9842862,751.8818695,794.6844719,,940.1812427,841.2871795,882.9266053
16,735.1754386,888.5178571,904.5660377,870.7959184,918.3793103,1017.903846,733.3220339,889.0943396,810.7115385,876.7692308,914.2321429,998.5238095,696.8245614,765.7592593,858.245283,901.9411765,912.8444444,959.5106383,,805.0456324,802.9856785,799.382869,,901.6632413,903.4485837,839.3018519,,904.617674,961.2349419,1817.755921,,721.7740113,847.7904853,804.0340459,,883.1687752,915.1519659,991.9794313
