subj_idx,朋友_match_friend,生人_match_friend,自我_match_friend,朋友_mismatch_friend,生人_mismatch_friend,自我_mismatch_friend,朋友_match_self,生人_match_self,自我_match_self,朋友_mismatch_self,生人_mismatch_self,自我_mismatch_self,朋友_match_stranger,生人_match_stranger,自我_match_stranger,朋友_mismatch_stranger,生人_mismatch_stranger,自我_mismatch_stranger,,朋友_self,朋友_friend,朋友_stranger,,生人_self,生人_friend,生人_stranger,,自我_self,自我_friend,自我_stranger,,match_朋友,match_生人,match_自我,,mismatch_朋友,mismatch_生人,mismatch_自我
19,785.1454545,915.1730769,840.3636364,925.8301887,924.7413793,981.3898305,871.3333333,905.1521739,743.9649123,984.8181818,978.6140351,876.8166667,909.3673469,780.7017544,732.6779661,957.8867925,880.3454545,902.0178571,,928.0757576,855.4878216,933.6270697,,941.8831045,919.9572281,830.5236045,,810.3907895,910.8767335,1634.695823,,855.2820449,867.0090017,831.2319652,,956.1783877,927.9002896,920.0747848
20,700.1818182,827.0263158,778.7045455,760.28,792.0172414,831.637931,737.8333333,839.1590909,668.8596491,778,777.7222222,885.2820513,752.2653061,711.5090909,692,766,836.0930233,848.7017544,,757.9166667,730.2309091,759.1326531,,808.4406566,809.5217786,773.8010571,,777.0708502,805.1712383,1540.701754,,730.0934859,792.5648325,733.2765002,,768.0933333,801.9441623,855.2072456
21,707.6779661,669.75,733.8070175,841.7021277,747.8103448,826.3207547,781.6976744,612.8888889,597.4915254,840.3928571,752.7777778,778.5789474,755.1052632,612.4827586,664.7627119,859.9482759,685.9166667,773.8947368,,811.0452658,774.6900469,807.5267696,,682.8333334,708.7801724,649.1997127,,688.0352364,780.0638861,1438.657449,,748.1603012,631.7072158,695.4679354,,847.3477536,728.8349298,792.9314796
22,817.1886792,814.3035714,862.9259259,955.8301887,971.2553191,1022.465517,805.0925926,801.3103448,818.1206897,957.1551724,1010.333333,1048.630435,794.1607143,790.2678571,889.5535714,893.1833333,1026.1,978.2678571,,881.1238825,886.509434,843.6720238,,905.8218389,892.7794453,908.1839286,,933.3755624,942.6957215,1867.821429,,805.480662,801.9605911,825.06911,,935.3895648,1002.562884,1016.454603
23,764.3103448,920.4,756.779661,898.9534884,944.6034483,903.5964912,968.9183673,863.3333333,876.8333333,1023.714286,933.9607843,978.6545455,871.62,760.6610169,719.6724138,953.0208333,820.6153846,877.4827586,,996.3163267,831.6319166,912.3204167,,898.6470588,932.5017242,790.6382008,,927.7439394,830.1880761,1597.155172,,868.282904,848.1314501,835.0776648,,958.5628692,899.7265391,919.9112651
24,875.8305085,931.1454545,858.6333333,968.9615385,1033.381818,1004.483333,905.9622642,951.3272727,831.9666667,1047.535714,1021.033898,928.5294118,938.637931,879.0181818,834.05,1027.051724,990.7358491,1010.37931,,976.7489891,922.3960235,982.8448275,,986.1805854,982.2636363,934.8770155,,880.2480393,931.5583332,1844.42931,,906.8102346,920.4969697,876.4126437,,1014.516326,1015.050522,981.1306849
25,740.5964912,911.56,727.3166667,818.2222222,909.7321429,886.1206897,769.6666667,828.0338983,652.9827586,841.2586207,820.5,792.037037,802.3508772,710.4576271,716.4827586,811.6949153,779.8679245,836.2068966,,805.4626437,779.4093567,807.0228963,,824.2669492,910.6460715,745.1627758,,722.5098978,806.7186782,1552.689655,,770.871345,816.6838418,727.5501008,,823.7252527,836.7000225,838.1215411
26,734.8,817.75,798.55,919.6304348,864.5666667,959.3,781.8474576,899.0909091,710.6101695,893.559322,945.8214286,919.02,826.6851852,759.2678571,789.1071429,1001.206897,980.0192308,1032.537037,,837.7033898,827.2152174,913.9460411,,922.4561689,841.1583334,869.643544,,814.8150848,878.925,1821.64418,,781.1108809,825.3695887,778.6151182,,938.1322179,930.1357754,970.285679
29,1042.528302,960.1428571,977.4509804,981.2,1163.5,1168.909091,935.9811321,925.5333333,951.3571429,1165.268293,1154.238095,1114.766667,988.4545455,973.75,1015.843137,1160.347826,1013.580645,1166.05,,1050.624713,1011.864151,1074.401186,,1039.885714,1061.821429,993.6653225,,1033.061905,1073.180036,2181.893137,,988.9879932,953.1420635,972.4208896,,1102.27204,1110.43958,1149.908586
30,811.9433962,884.5517241,903.0188679,980.3396226,977.7966102,979.2592593,848.1578947,843.8727273,778.3157895,903.0689655,881.2758621,838.372549,802.5084746,854.9310345,809.3333333,906.4237288,970.490566,887.7090909,,875.6134301,896.1415094,854.4661017,,862.5742947,931.1741672,912.7108003,,808.3441693,941.1390636,1697.042424,,820.8699218,861.1184953,827.9477107,,929.9441056,943.1876794,901.7802997
33,800.8571429,921.2352941,792.4444444,999.9230769,1027.709091,1165.533333,840.2830189,894.5762712,697.9482759,983.7666667,1042.8,898.5957447,788.5438596,797.6724138,907.0588235,990.8448276,987.3478261,1065.615385,,912.0248428,900.3901099,889.6943436,,968.6881356,974.4721926,892.51012,,798.2720103,978.9888887,1972.674209,,809.8946738,871.1613264,759.6455266,,991.5115237,1019.285639,1043.248154
37,754.9137931,908.7,755.4333333,877.4883721,1053.255814,1010.12766,847.9411765,914.54,734.6078431,970.2264151,955.8,887.7209302,890.1355932,801.1,829.8275862,936.0701754,892.6976744,946.4666667,,909.0837958,816.2010826,913.1028843,,935.17,980.977907,846.8988372,,811.1643867,882.7804967,1776.294253,,830.9968543,874.78,793.3922565,,927.9283209,967.2511628,948.1050856
39,755.4259259,862.4166667,802.1052632,947.75,945.2156863,995.9245283,920.1086957,894.6909091,725.137931,1034.160714,992.58,926.6875,1044.473684,755.3220339,788.6,1024,877.1914894,1011.538462,,977.1347049,851.587963,1034.236842,,943.6354546,903.8161765,816.2567617,,825.9127155,899.0148958,1800.138462,,906.6694352,837.4765366,857.2389594,,1001.970238,938.3290586,978.0501634
40,840.65,888.1454545,773.9655172,892.9411765,990.0740741,952.6363636,767.877193,850.0714286,881.3207547,916.5666667,937.9642857,1039.891304,807.4727273,900.9107143,855.5892857,965.4915254,1035.931818,1027.673469,,842.2219299,866.7955883,886.4821264,,894.0178572,939.1097643,968.4212662,,960.6060294,863.3009404,1883.262755,,805.3333068,879.7091991,820.9196664,,924.9997895,987.9900593,1006.733712
42,886.1355932,1009.479167,783.3220339,971.9122807,1103.974359,1118.113208,903.4150943,922.0338983,903.8490566,1079.730769,1035.675,992.8461538,919.0185185,1051.886792,936.2982456,1039.258621,1053.975,1055.638298,,991.5729317,929.023937,979.1385698,,978.8544492,1056.726763,1052.930896,,948.3476052,950.717621,1991.936544,,902.856402,994.4666191,868.7298697,,1030.300557,1064.541453,1055.532553
44,865.3076923,860.2678571,901.1851852,958.6734694,941.6551724,941.4,830.440678,896.4565217,866.8431373,959.8214286,928.1929825,878.8653846,835.3448276,800.1132075,836.5614035,992.5454545,907.7692308,929.1320755,,895.1310533,911.9905809,913.9451411,,912.3247521,900.9615148,853.9412192,,872.854261,921.2925926,1765.693479,,843.6977326,852.2791954,867.79105,,970.3467842,925.8724619,916.46582
45,724.8148148,853.372549,747.1864407,890.7446809,877.3859649,898.1428571,776.9454545,806.2941176,674.0892857,818.2807018,936.5614035,884.4509804,755.3636364,778.4385965,728.6078431,808.779661,878.1515152,833.779661,,797.6130782,807.7797479,782.0716487,,871.4277606,865.379257,828.2950559,,779.2701331,822.6646489,1562.387504,,752.3746352,812.7017544,725.5464543,,839.2683479,897.3662945,872.1244995
46,881.3559322,961.14,940.0961538,1003.642857,1013.222222,1026.981481,885.8793103,990.7735849,958.862069,1041.315789,1087.773585,1086.725,843.2833333,977.5862069,964.4821429,980.0833333,1058.961538,1086.686275,,963.5975497,942.4993946,911.6833333,,1039.273585,987.181111,1018.273872,,1022.793535,983.5388174,2051.168418,,870.1728586,976.4999306,914.0805187,,1008.347326,1053.319115,1066.797585
49,663.9636364,881.9074074,871.7755102,809.9183673,957.4583333,930.7457627,736.6603774,797.5087719,696.1071429,912.7931034,900.5,843.2,711.8,673.4137931,885.5,927.6428571,850.7346939,937.9245283,,824.7267404,736.9410019,819.7214286,,849.004386,919.6828704,762.0742435,,769.6535715,901.2606365,1823.424528,,704.1413379,784.2766575,759.8942177,,883.4514426,902.8976757,903.9567637
53,645.8166667,778.7413793,829.962963,810.7619048,1020.387755,950.6481481,781.4642857,711.537037,683.75,1015.644444,1026.315789,966.8,744.3103448,612.8333333,808.9642857,1006.5625,968.44,952.6923077,,898.5543649,728.2892858,875.4364224,,868.926413,899.5645672,790.6366667,,825.275,890.3055556,1761.656593,,723.8637657,701.0372499,752.6744359,,944.3229496,1005.047848,956.7134853
54,936.7058824,1077.085106,994.36,1035.4,1118.55814,1136.490566,1030.019608,958.78,956.2222222,1082.384615,1094.96,1003.714286,959.8545455,1008.351852,1007.423077,1099.415094,1062.536585,1078.528302,,1056.202112,986.0529412,1029.63482,,1026.87,1097.821623,1035.444219,,979.9682541,1065.425283,2085.951379,,975.5266786,1014.738986,970.1455892,,1072.399903,1092.018242,1072.911051
55,664.220339,926.0377358,862.7894737,864.7608696,948.5357143,980.1730769,863.8727273,971.54,668.3166667,1013.041667,1011.327273,842.8541667,826.9259259,704.1525424,840.0178571,926.0178571,856.2407407,1021.535714,,938.4571972,764.4906043,876.4718915,,991.4336365,937.2867251,780.1966416,,755.5854167,921.4812753,1861.553571,,785.0063307,867.2434261,786.0106888,,934.6067979,938.7012427,948.1876525
56,877.9019608,983.0943396,921.1886792,1056.904762,1024.77193,1019.584906,944.6140351,1040.046512,900.3584906,1081.955556,1033.875,1002.782609,982.3877551,944.2592593,999.0666667,1159.659091,1083.166667,1119.703704,,1013.284796,967.4033614,1071.023423,,1036.960756,1003.933135,1013.712963,,951.5705498,970.3867926,2118.770371,,934.967917,989.1333703,934.644975,,1099.50647,1047.271199,1047.357073
58,776.0612245,899.75,824.5090909,973.6666667,941.5714286,960.1034483,905.05,842.175,839.0851064,898.952381,905.2075472,959.6744186,783.3555556,815.6086957,847.4166667,948.7021277,994.6764706,938.1515152,,902.0011905,874.8639456,866.0288417,,873.6912736,920.6607143,905.1425832,,899.3797625,892.3062696,1785.568182,,821.4889267,852.5112319,815.6499176,,940.4403918,947.1518155,952.6431274
59,714.1186441,800.2631579,829.3157895,845.9411765,953.5714286,968.7142857,848.9230769,837.4107143,813.9824561,955.0555556,1066.413043,921.58,814.3454545,715.0333333,832.1864407,923.2631579,860.2040816,986.3833333,,901.9893163,780.0299103,868.8043062,,951.9118787,876.9172933,787.6187075,,867.7812281,899.0150376,1818.569774,,792.4623918,784.2357352,819.2145667,,908.08663,960.0628511,958.8925397
61,725.6440678,892.5686275,818.8039216,910.0212766,908.9259259,933.1929825,771.875,931.9130435,708.537037,865.2033898,898.9137931,891.106383,755.9322034,780.4912281,840.1851852,860.8235294,923.0638298,878.3859649,,818.5391949,817.8326722,808.3778664,,915.4134183,900.7472767,851.777529,,799.82171,875.9984521,1718.57115,,751.1504237,868.3242997,761.091054,,878.6827319,910.3011829,900.8951101
64,835.4,842.6730769,792.0925926,920.5438596,891.0535714,877.8813559,787.3275862,760.3090909,883.8392857,842.7368421,871.877193,914.4285714,855.5555556,805.2105263,810.787234,913.8275862,977.2592593,914.5932203,,815.0322142,877.9719298,884.6915709,,816.093142,866.8633242,891.2348928,,899.1339286,834.9869743,1725.380454,,826.0943806,802.730898,843.8291446,,892.3694293,913.3966746,902.3010492
67,655.1090909,898.3584906,730.9473684,848.375,895.8461538,923.6785714,801.6909091,881.1875,681.5517241,925.2105263,901.7222222,797.7818182,907.7111111,725.5636364,740.45,987.462963,872.5714286,989.3962264,,863.4507177,751.7420455,947.5870371,,891.4548611,897.1023222,799.0675325,,739.6667712,827.3129699,1729.846226,,788.1703704,835.0365423,773.4034012,,920.3494964,890.0466015,903.618872
68,773.4067797,881.7457627,881.0909091,891.6724138,932.2758621,957.5762712,821.0338983,897.1052632,821.362069,978.0363636,986.8367347,980.0892857,841.1034483,810.9833333,944.1403509,886.3050847,908.4655172,927.7833333,,899.535131,832.5395968,863.7042665,,941.970999,907.0108124,859.7244253,,900.7256774,919.3335902,1871.923684,,811.8480421,863.2781197,847.8521421,,918.6712874,942.526038,955.1496301
