A_B,subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,1_match,1_mismatch,2_match,2_mismatch,A_B_dif,friend_dif,self_dif,stranger_dif
1,1,0.981481481,0.981481481,0.925925926,0.944444444,0.916666667,0.888888889,0.962962963,0.916666667,0.805555556,0.830246914,0.046296296,0.037037037,0.064814814,0.037037037
1,2,0.972222222,0.925925926,0.935185185,0.638888889,0.916666667,0.916666667,0.944444444,0.824074074,0.861111111,0.898148148,0.12037037,0.333333333,0.009259259,0.018518518
1,3,0.981481481,0.990740741,0.898148148,0.916666667,0.944444444,0.986111111,0.956790123,0.949074074,0.662037037,0.805555556,0.007716049,0.064814814,0.046296297,-0.087962963
1,4,0.944444444,0.851851852,0.944444444,0.805555556,0.833333333,0.930555556,0.913580247,0.856481482,0.75462963,0.891975309,0.057098765,0.138888888,0.018518519,0.013888888
1,5,0.898148148,0.824074074,0.944444444,0.652777778,0.763888889,0.680555556,0.888888889,0.699074074,0.708333333,0.845679012,0.189814814,0.24537037,0.060185185,0.263888888
1,6,0.925925926,0.907407407,0.935185185,0.777777778,0.875,0.805555556,0.922839506,0.819444445,0.893518518,0.953703703,0.103395061,0.148148148,0.032407407,0.129629629
1,7,0.796296296,0.935185185,0.592592593,0.555555556,0.666666667,0.791666667,0.774691358,0.671296297,0.814814815,0.827160494,0.103395061,0.24074074,0.268518518,-0.199074074
1,8,1,0.972222222,0.962962963,0.986111111,0.972222222,0.958333333,0.978395062,0.972222222,0.819444444,0.901234568,0.00617284,0.013888889,0,0.00462963
1,9,0.935185185,0.907407407,0.898148148,0.861111111,0.847222222,0.819444444,0.913580247,0.842592592,0.907407407,0.935185185,0.070987654,0.074074074,0.060185185,0.078703704
1,10,0.944444444,0.962962963,0.962962963,0.833333333,0.652777778,0.75,0.956790123,0.74537037,0.912037037,0.938271605,0.211419753,0.111111111,0.310185185,0.212962963
1,11,0.851851852,0.907407407,0.796296296,0.916666667,0.958333333,0.902777778,0.851851852,0.925925926,0.763888889,0.891975309,-0.074074074,-0.064814815,-0.050925926,-0.106481482
1,12,0.907407407,0.925925926,0.935185185,0.805555556,0.611111111,0.902777778,0.922839506,0.773148148,0.541666667,0.848765432,0.149691358,0.101851851,0.314814815,0.032407407
1,13,0.916666667,0.981481481,0.842592593,0.930555556,0.833333333,0.805555556,0.913580247,0.856481482,0.930555556,0.904320987,0.057098765,-0.013888889,0.148148148,0.037037037
1,14,0.861111111,0.990740741,0.990740741,0.805555556,0.958333333,0.972222222,0.947530864,0.912037037,0.893518518,0.947530864,0.035493827,0.055555555,0.032407408,0.018518519
1,15,0.962962963,0.962962963,0.842592593,0.638888889,0.875,0.833333333,0.922839506,0.782407407,0.828703704,0.861111111,0.140432099,0.324074074,0.087962963,0.00925926
1,16,0.953703704,1,0.898148148,0.902777778,0.833333333,0.902777778,0.950617284,0.87962963,0.810185185,0.839506173,0.070987654,0.050925926,0.166666667,-0.00462963
1,17,0.824074074,0.796296296,0.787037037,0.680555556,0.722222222,0.736111111,0.802469136,0.712962963,0.87962963,0.842592593,0.089506173,0.143518518,0.074074074,0.050925926
1,18,0.777777778,0.925925926,0.814814815,0.847222222,0.833333333,0.819444444,0.839506173,0.833333333,0.810185185,0.901234568,0.00617284,-0.069444444,0.092592593,-0.004629629
1,19,0.796296296,0.87962963,0.925925926,0.875,0.958333333,0.861111111,0.867283951,0.898148148,0.805555555,0.827160494,-0.030864197,-0.078703704,-0.078703703,0.064814815
1,20,0.944444444,0.953703704,0.925925926,0.888888889,0.861111111,0.861111111,0.941358025,0.87037037,0.583333333,0.811728395,0.070987654,0.055555555,0.092592593,0.064814815
1,21,0.861111111,0.953703704,0.787037037,0.805555556,0.861111111,0.902777778,0.867283951,0.856481482,0.773148148,0.888888889,0.010802469,0.055555555,0.092592593,-0.115740741
1,22,0.861111111,0.972222222,0.953703704,0.791666667,0.666666667,0.833333333,0.929012346,0.763888889,0.800925926,0.820987654,0.165123457,0.069444444,0.305555555,0.120370371
1,23,0.916666667,0.833333333,0.675925926,0.777777778,0.861111111,0.875,0.808641975,0.837962963,0.930555556,0.904320988,-0.029320988,0.138888889,-0.027777778,-0.199074074
1,24,0.972222222,1,0.814814815,0.777777778,0.680555556,0.805555556,0.929012346,0.75462963,0.925925926,0.944444444,0.174382716,0.194444444,0.319444444,0.009259259
1,25,0.833333333,0.990740741,0.898148148,0.861111111,0.819444444,0.875,0.907407407,0.851851852,0.935185185,0.981481481,0.055555556,-0.027777778,0.171296297,0.023148148
1,26,0.916666667,0.907407407,0.666666667,0.666666667,0.75,0.777777778,0.830246914,0.731481482,0.842592592,0.891975309,0.098765432,0.25,0.157407407,-0.111111111
1,27,0.907407407,0.962962963,0.944444444,0.652777778,0.708333333,0.708333333,0.938271605,0.689814815,0.902777778,0.901234568,0.24845679,0.254629629,0.25462963,0.236111111
1,28,0.851851852,0.953703704,0.87962963,0.833333333,0.680555556,0.736111111,0.895061729,0.75,0.828703704,0.916666666,0.145061729,0.018518519,0.273148148,0.143518519
1,29,0.731481481,0.87037037,0.851851852,0.791666667,0.875,0.652777778,0.817901234,0.773148148,0.847222222,0.830246914,0.044753086,-0.060185186,-0.00462963,0.199074074
1,30,0.953703704,0.962962963,0.805555556,0.777777778,0.791666667,0.791666667,0.907407408,0.787037037,0.791666667,0.938271605,0.12037037,0.175925926,0.171296296,0.013888889
2,31,0.777777778,0.986111111,0.652777778,0.851851852,0.805555556,0.833333333,,,,,-0.024691358,-0.074074074,0.180555555,-0.180555555
2,32,0.805555556,0.958333333,0.819444444,0.87962963,0.916666667,0.898148148,,,,,-0.037037037,-0.074074074,0.041666666,-0.078703704
2,33,0.652777778,0.513888889,0.819444444,0.796296296,0.842592593,0.777777778,,,,,-0.143518519,-0.143518518,-0.328703704,0.041666666
2,34,0.694444444,0.930555556,0.638888889,0.87962963,0.907407407,0.888888889,,,,,-0.137345679,-0.185185186,0.023148149,-0.25
2,35,0.736111111,0.791666667,0.597222222,0.805555556,0.87037037,0.861111111,,,,,-0.137345679,-0.069444445,-0.078703703,-0.263888889
2,36,0.888888889,0.972222222,0.819444444,0.972222222,0.907407407,0.981481481,,,,,-0.060185185,-0.083333333,0.064814815,-0.162037037
2,37,0.819444444,0.930555556,0.694444444,0.768518519,0.898148148,0.814814815,,,,,-0.012345679,0.050925925,0.032407408,-0.120370371
2,38,0.694444444,0.847222222,0.916666667,0.851851852,0.907407407,0.944444444,,,,,-0.081790123,-0.157407408,-0.060185185,-0.027777777
2,39,0.916666667,0.958333333,0.847222222,0.916666667,0.925925926,0.962962963,,,,,-0.027777778,0,0.032407407,-0.115740741
2,40,0.972222222,1,0.763888889,0.935185185,0.962962963,0.916666667,,,,,-0.026234568,0.037037037,0.037037037,-0.152777778
2,41,0.833333333,0.833333333,0.625,0.925925926,0.861111111,0.888888889,,,,,-0.12808642,-0.092592593,-0.027777778,-0.263888889
2,42,0.694444444,0.625,0.305555556,0.898148148,0.814814815,0.833333333,,,,,-0.307098765,-0.203703704,-0.189814815,-0.527777777
2,43,0.930555556,0.986111111,0.875,0.87037037,0.907407407,0.935185185,,,,,0.026234568,0.060185186,0.078703704,-0.060185185
2,44,0.861111111,0.944444444,0.875,0.944444444,0.962962963,0.935185185,,,,,-0.054012346,-0.083333333,-0.018518519,-0.060185185
2,45,0.833333333,0.930555556,0.722222222,0.898148148,0.851851852,0.833333333,,,,,-0.032407407,-0.064814815,0.078703704,-0.111111111
2,46,0.875,0.819444444,0.736111111,0.796296296,0.888888889,0.833333333,,,,,-0.029320988,0.078703704,-0.069444445,-0.097222222
2,47,0.875,0.972222222,0.791666667,0.851851852,0.898148148,0.777777778,,,,,0.037037037,0.023148148,0.074074074,0.013888889
2,48,0.791666667,0.930555556,0.708333333,0.888888889,0.898148148,0.916666667,,,,,-0.091049383,-0.097222222,0.032407408,-0.208333334
2,49,0.763888889,0.944444444,0.708333333,0.824074074,0.824074074,0.833333333,,,,,-0.021604938,-0.060185185,0.12037037,-0.125
2,50,0.833333333,0.361111111,0.555555556,0.805555556,0.861111111,0.768518519,,,,,-0.228395062,0.027777777,-0.5,-0.212962963
2,51,1,0.666666667,0.652777778,0.925925926,0.898148148,0.842592593,,,,,-0.115740741,0.074074074,-0.231481481,-0.189814815
2,52,0.944444444,0.541666667,0.916666667,0.861111111,0.833333333,0.768518519,,,,,-0.020061728,0.083333333,-0.291666666,0.148148148
2,53,0.930555556,0.944444444,0.916666667,0.824074074,0.953703704,0.935185185,,,,,0.026234568,0.106481482,-0.00925926,-0.018518518
2,54,0.972222222,0.944444444,0.861111111,0.935185185,0.953703704,0.944444444,,,,,-0.018518519,0.037037037,-0.00925926,-0.083333333
2,55,0.972222222,0.930555556,0.902777778,0.990740741,0.981481481,0.972222222,,,,,-0.046296296,-0.018518519,-0.050925925,-0.069444444
2,56,0.819444444,0.861111111,0.847222222,0.925925926,0.824074074,0.925925926,,,,,-0.049382716,-0.106481482,0.037037037,-0.078703704
2,57,0.916666667,0.958333333,0.833333333,0.962962963,0.925925926,0.814814815,,,,,0.00154321,-0.046296296,0.032407407,0.018518518
2,58,0.847222222,0.805555556,0.833333333,0.935185185,0.907407407,0.907407407,,,,,-0.087962963,-0.087962963,-0.101851851,-0.074074074
2,59,0.902777778,0.833333333,0.805555556,0.75,0.888888889,0.851851852,,,,,0.016975309,0.152777778,-0.055555556,-0.046296296
2,60,0.888888889,0.833333333,0.652777778,0.907407407,0.990740741,0.916666667,,,,,-0.146604938,-0.018518518,-0.157407408,-0.263888889
