A_B,subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,1_match,1_mismatch,2_match,2_mismatch,A_B_dif,friend_dif,self_dif,stranger_dif
1,1,695.6509434,651.0377358,808.98,850.2205882,825.8333333,842.6875,718.5562264,839.5804738,772.5240111,818.261286,121.0242474,154.5696448,174.7955975,33.7075
1,2,665.2952381,801.36,776.3762376,883.1956522,887.2272727,915.4393939,747.6771586,895.2874396,682.2416052,697.9883005,147.610281,217.9004141,85.8672727,139.0631563
1,3,646.7075472,590.1121495,692.9072165,718.969697,690.1617647,709.028169,643.2423044,706.0532102,636.6044905,670.5730258,62.81090583,72.2621498,100.0496152,16.1209525
1,4,852.8235294,817.7065217,875.6568627,999.9137931,1001.516667,949.5373134,848.7289713,983.6559245,716.4924378,718.6122845,134.9269532,147.0902637,183.8101453,73.8804507
1,5,702.9072165,854.5280899,720.1764706,948.9574468,937.3272727,883.4693878,759.2039257,923.2513691,761.949606,803.6985894,164.0474434,246.0502303,82.7991828,163.2929172
1,6,730.07,707.255102,813.3663366,834.3214286,789.9365079,813.5,750.2304795,812.5859788,713.3186088,710.8687246,62.3554993,104.2514286,82.6814059,0.1336634
1,7,667.6860465,608.2970297,769.609375,772.7,787.9375,761.0526316,681.8641504,773.8967105,786.3246058,807.8593639,92.03256013,105.0139535,179.6404703,-8.5567434
1,8,778.2314815,730.7714286,874.6153846,856.3380282,879.8857143,864.7826087,794.5394316,867.0021171,793.2827223,853.5225366,72.4626855,78.1065467,149.1142857,-9.8327759
1,9,822.6336634,851.5714286,959.628866,974.8709677,999.0491803,1014.59322,877.9446527,996.1711227,908.2363694,991.9660542,118.22647,152.2373043,147.4777517,54.964354
1,10,618.6372549,614.3076923,645.8942308,766.2833333,808.7021277,785.4074074,626.279726,786.7976228,710.2712001,750.7943012,160.5178968,147.6460784,194.3944354,139.5131766
1,11,746.7826087,684.1836735,814.9534884,748.5909091,790.1449275,719.9846154,748.6399235,752.9068173,890.4851852,941.9925448,4.2668938,1.8083004,105.961254,-94.968873
