sub_idx,gender,year
1,0,24
3,0,23
5,0,21
6,0,24
7,0,23
9,1,23
10,0,23
11,1,21
15,0,22
16,1,20
19,1,24
20,1,23
21,0,20
22,0,21
23,0,22
24,0,23
25,1,23
26,1,23
29,0,22
30,0,23
33,1,21
37,0,20
39,1,23
40,0,20
42,0,24
44,0,23
45,1,21
46,0,22
49,1,21
53,1,23
54,0,22
55,1,21
56,0,23
58,0,22
59,1,23
61,1,21
64,0,22
67,1,21
68,0,28
