"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","html-keyboard-response","670","1686405","0.0-20.0-1.0-1.0-0.2-1.152","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","671","1688363","0.0-20.0-1.0-1.0-0.2-0.153","950","","j","","","","","","","","","","","","","key","j","16.65143103448369","768","428","f","false","img/H_28.png","朋友","friend","","生人"
"","","","","","html-keyboard-response","672","1688668","0.0-20.0-1.0-1.0-0.2-1.153","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","673","1690892","0.0-20.0-1.0-1.0-0.2-0.154","1214","","f","","","","","","","","","","","","","key","f","16.651621212120958","768","428","f","true","img/C_28.png","朋友","friend","","自我"
"","","","","","html-keyboard-response","674","1691201","0.0-20.0-1.0-1.0-0.2-1.154","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","675","1693108","0.0-20.0-1.0-1.0-0.2-0.155","895","","j","","","","","","","","","","","","","key","j","16.650592920353915","768","428","j","true","img/S_28.png","生人","friend","","朋友"
"","","","","","html-keyboard-response","676","1693410","0.0-20.0-1.0-1.0-0.2-1.155","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","677","1695269","0.0-20.0-1.0-1.0-0.2-0.156","859","","d","","","","","","","","","","","","","key","d","16.653135135134278","768","428","d","true","img/H_28.png","生人","friend","","生人"
"","","","","","html-keyboard-response","678","1695581","0.0-20.0-1.0-1.0-0.2-1.156","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","679","1697488","0.0-20.0-1.0-1.0-0.2-0.157","899","","k","","","","","","","","","","","","","key","k","16.65010619469078","768","428","k","true","img/S_28.png","朋友","friend","","朋友"
"","","","","","html-keyboard-response","680","1697802","0.0-20.0-1.0-1.0-0.2-1.157","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","681","1699649","0.0-20.0-1.0-1.0-0.2-0.158","842","","f","","","","","","","","","","","","","key","f","16.6502636363624","768","428","f","true","img/H_28.png","自我","friend","","生人"
"","","","","","html-keyboard-response","682","1699965","0.0-20.0-1.0-1.0-0.2-1.158","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
