"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","3024","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","72728","0.0-1.0","69703","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","75159","0.0-2.0","2430","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","75161","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","81869","0.0-3.0-1.0","6707","","{""Q0"":""61""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","82853","0.0-3.0-2.0","982","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","86764","0.0-3.0-3.0","3910","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","89364","0.0-3.0-4.0","2599","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","184660","0.0-4.0","95294","","","","85.6","53.98","425.5768686616332","4.977085413161473","575.16","8.511537373232665","50","0.8318121262400132","38.4","19.38","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","187043","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","301291","0.0-6.0","114247","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6359},{""page_index"":1,""viewing_time"":33840},{""page_index"":2,""viewing_time"":68920},{""page_index"":3,""viewing_time"":2800},{""page_index"":4,""viewing_time"":2328}]","","","","","","","","","","","",""
"","","","","","instructions","11","317764","0.0-7.0","16471","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16471}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","320190","0.0-8.0-0.0-0.0","1415","","j","","","","","","","","","","","","","key","j","16.683131944444337","960","536","j","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","320495","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","322510","0.0-8.0-0.0-0.1","1014","","k","","","","","","","","","","","","","key","k","16.683252100840587","960","536","k","true","img/S_28.png","朋友","freeprac_self","",""
