"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","10856","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","91862","0.0-1.0","81004","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","94531","0.0-2.0","2669","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","94532","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","103124","0.0-3.0-1.0","8590","","{""Q0"":""45""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","104513","0.0-3.0-2.0","1388","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","110346","0.0-3.0-3.0","5831","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","113475","0.0-3.0-4.0","3126","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","234661","0.0-4.0","121185","","","","85.6","53.98","452.2323360193089","5.283734946348048","541.13","9.044646720386178","50","0.866811080893744","30.72","14.62","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","240111","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","390113","0.0-6.0","150001","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9078},{""page_index"":1,""viewing_time"":31323},{""page_index"":2,""viewing_time"":99809},{""page_index"":3,""viewing_time"":2815},{""page_index"":4,""viewing_time"":6976}]","","","","","","","","","","","",""
"","","","","","instructions","11","431076","0.0-7.0","40964","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":40964}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","433853","0.0-8.0-0.0-0.0","1755","","f","","","","","","","","","","","","","key","f","8.332469879518086","768","428","d","false","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","13","434156","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","436628","0.0-8.0-0.0-0.1","1469","","k","","","","","","","","","","","","","key","k","8.33186440677974","768","428","k","true","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","15","436932","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","438812","0.0-8.0-0.0-0.2","877","","k","","","","","","","","","","","","","key","k","8.333750000000041","768","428","k","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","17","439115","0.0-8.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","441726","0.0-8.0-0.0-0.3","1544","","f","","","","","","","","","","","","","key","f","8.331410256410331","768","428","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","19","442040","0.0-8.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","444229","0.0-8.0-0.0-0.4","1184","","k","","","","","","","","","","","","","key","k","8.332337164750923","768","428","k","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","21","444537","0.0-8.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","446396","0.0-8.0-0.0-0.5","858","","f","","","","","","","","","","","","","key","f","8.330900900900994","768","428","f","true","img/S_28.png","自我","freeprac_self","",""
