"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","570","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1820","0.0-1.0","1249","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2654","0.0-2.0","834","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","2655","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","5742","0.0-3.0-1.0","3086","","{""Q0"":""40""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","6738","0.0-3.0-2.0","995","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","10020","0.0-3.0-3.0","3281","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","12344","0.0-3.0-4.0","2324","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","63138","0.0-4.0","50793","","","","85.6","53.98","399.8297415094343","4.671585839915929","612.33","7.996594830188686","50","0.9654109235165339","30.72","14.14","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","65440","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","84298","0.0-6.0","18858","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2277},{""page_index"":1,""viewing_time"":2096},{""page_index"":2,""viewing_time"":4458},{""page_index"":3,""viewing_time"":8418},{""page_index"":4,""viewing_time"":1608}]","","","","","","","","","","","",""
"","","","","","instructions","11","92536","0.0-7.0","8237","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8237}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","95338","0.0-8.0-0.0-0.0","1793","","f","","","","","","","","","","","","","key","f","9.491874149659878","768","428","j","false","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","13","95648","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","99787","0.0-8.0-0.0-0.1","3136","","k","","","","","","","","","","","","","key","k","9.725021226415093","768","428","j","false","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","15","100088","0.0-8.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
