"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","7548","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","88386","0.0-1.0","80836","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","89927","0.0-2.0","1541","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","89928","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","98677","0.0-3.0-1.0","8740","","{""Q0"":""49""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","99661","0.0-3.0-2.0","982","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","108437","0.0-3.0-3.0","8774","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","111549","0.0-3.0-4.0","3111","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","210933","0.0-4.0","99383","","","","85.6","53.98","441.9910891412888","5.160678079917841","553.72","8.839821782825776","50","0.8099710804023929","25.6","12.96","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","214158","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","271357","0.0-6.0","57198","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8502},{""page_index"":1,""viewing_time"":9751},{""page_index"":2,""viewing_time"":34352},{""page_index"":3,""viewing_time"":2992},{""page_index"":4,""viewing_time"":1600}]","","","","","","","","","","","",""
"","","","","","instructions","11","283973","0.0-7.0","12615","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12615}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","289991","0.0-8.0-0.0-0.0","5013","","j","","","","","","","","","","","","","key","j","16.666219444444547","640","356","j","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","290307","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","293254","0.0-8.0-0.0-0.1","1944","","f","","","","","","","","","","","","","key","f","16.665488636363577","640","356","f","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","15","293575","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","296554","0.0-8.0-0.0-0.2","1971","","k","","","","","","","","","","","","","key","k","16.666640449438265","640","356","d","false","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","17","296860","0.0-8.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","299899","0.0-8.0-0.0-0.3","2037","","j","","","","","","","","","","","","","key","j","16.660740331491617","640","356","j","true","img/S_28.png","生人","freeprac_self","",""
