,subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch
1,31,0.777777778,0.986111111,0.652777778,0.851851852,0.805555556,0.833333333
2,32,0.805555556,0.958333333,0.819444444,0.87962963,0.916666667,0.898148148
3,33,0.652777778,0.513888889,0.819444444,0.796296296,0.842592593,0.777777778
4,34,0.694444444,0.930555556,0.638888889,0.87962963,0.907407407,0.888888889
5,35,0.736111111,0.791666667,0.597222222,0.805555556,0.87037037,0.861111111
6,36,0.888888889,0.972222222,0.819444444,0.972222222,0.907407407,0.981481481
7,37,0.819444444,0.930555556,0.694444444,0.768518519,0.898148148,0.814814815
8,38,0.694444444,0.847222222,0.916666667,0.851851852,0.907407407,0.944444444
9,39,0.916666667,0.958333333,0.847222222,0.916666667,0.925925926,0.962962963
10,40,0.972222222,1,0.763888889,0.935185185,0.962962963,0.916666667
11,41,0.833333333,0.833333333,0.625,0.925925926,0.861111111,0.888888889
12,42,0.694444444,0.625,0.305555556,0.898148148,0.814814815,0.833333333
13,43,0.930555556,0.986111111,0.875,0.87037037,0.907407407,0.935185185
14,44,0.861111111,0.944444444,0.875,0.944444444,0.962962963,0.935185185
15,45,0.833333333,0.930555556,0.722222222,0.898148148,0.851851852,0.833333333
16,46,0.875,0.819444444,0.736111111,0.796296296,0.888888889,0.833333333
17,47,0.875,0.972222222,0.791666667,0.851851852,0.898148148,0.777777778
18,48,0.791666667,0.930555556,0.708333333,0.888888889,0.898148148,0.916666667
19,49,0.763888889,0.944444444,0.708333333,0.824074074,0.824074074,0.833333333
20,50,0.833333333,0.361111111,0.555555556,0.805555556,0.861111111,0.768518519
21,51,1,0.666666667,0.652777778,0.925925926,0.898148148,0.842592593
22,52,0.944444444,0.541666667,0.916666667,0.861111111,0.833333333,0.768518519
23,53,0.930555556,0.944444444,0.916666667,0.824074074,0.953703704,0.935185185
24,54,0.972222222,0.944444444,0.861111111,0.935185185,0.953703704,0.944444444
25,55,0.972222222,0.930555556,0.902777778,0.990740741,0.981481481,0.972222222
26,56,0.819444444,0.861111111,0.847222222,0.925925926,0.824074074,0.925925926
27,57,0.916666667,0.958333333,0.833333333,0.962962963,0.925925926,0.814814815
28,58,0.847222222,0.805555556,0.833333333,0.935185185,0.907407407,0.907407407
29,59,0.902777778,0.833333333,0.805555556,0.75,0.888888889,0.851851852
30,60,0.888888889,0.833333333,0.652777778,0.907407407,0.990740741,0.916666667
