subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,self_dif,friend_dif,stranger_dif
1,A,694.7850467,657.4537037,808.3055556,841.6388889,803.1805556,839.875,145.7268519,146.8538422,31.5694444
2,A,668.4205607,817.4859813,789.4259259,800.7042254,880.4305556,929.0277778,62.9445743,132.2836647,139.6018519
3,A,644.9074074,590.7407407,693.7777778,703.875,682.0138889,707.1388889,91.2731482,58.9675926,13.3611111
4,A,858.8785047,849.6698113,881.8207547,976.5652174,981.8450704,951,132.1752591,117.6867127,69.1792453
5,A,707.0380952,842.3714286,723.212963,876.4225352,920.3661972,815.5820896,77.9947686,169.38444,92.3691266
6,A,735.6226415,705.1869159,824.635514,817.5633803,784.2112676,819.1805556,79.0243517,81.9407388,-5.4549584
7,A,675.7358491,621.5925926,764.3018868,765.3714286,734.6388889,771.8169014,113.0462963,89.6355795,7.5150146
8,A,778.2314815,736.5514019,875.9813084,857.8472222,884.4444444,862.2222222,147.8930425,79.6157407,-13.7590862
9,A,820.8773585,859.3055556,956.6792453,961.7887324,996.6231884,993.5223881,137.3176328,140.9113739,36.8431428
10,A,623.7850467,627.3240741,646.1851852,743.1549296,735.6527778,752.5972222,108.3287037,119.3698829,106.412037
11,A,735.6132075,687.0185185,779.5555556,743.4027778,788.6478873,716.4583333,101.6293688,7.7895703,-63.0972223
12,A,648.2407407,611.8130841,626.4537037,742.5833333,727,757.9305556,115.1869159,94.3425926,131.4768519
13,A,851.1388889,651.271028,882.3364486,890.7222222,831.3428571,890.8382353,180.0718291,39.5833333,8.5017867
14,A,837.4074074,664.9907407,795.8598131,895.3888889,811.1527778,844.6527778,146.1620371,57.9814815,48.7929647
15,A,555.8981481,579.9074074,597.8055556,615.5774648,644.5633803,607,64.6559729,59.6793167,9.1944444
1,B,817.9305556,631.7638889,825.6901408,845.9813084,744.8301887,854.9074074,113.0662998,28.0507528,29.2172666
2,B,720.6666667,609.7083333,707.7222222,694.212963,686.4814815,717.0185185,76.7731482,-26.4537037,9.2962963
3,B,642.3472222,626.1111111,657.7638889,644.0740741,669.6111111,641.1388889,43.5,1.7268519,-16.625
4,B,769.9014085,608.3333333,713.8888889,764.8240741,655.5833333,719.271028,47.25,-5.0773344,5.3821391
5,B,758.8472222,754.9861111,721.0277778,821.6759259,792.7830189,774.5740741,37.7969078,62.8287037,53.5462963
6,B,740.8333333,626.2638889,760.0972222,737.2407407,685.5555556,713.5277778,59.2916667,-3.5925926,-46.5694444
7,B,820.7,688.4857143,808.9705882,839.682243,800.352381,775.5882353,111.8666667,18.982243,-33.3823529
8,B,833.8405797,837.4366197,731.7222222,851.4579439,894.2830189,803.5462963,56.8463992,17.6173642,71.8240741
9,B,879.9,885.6944444,964.3382353,1013.184466,966.317757,993.4857143,80.6233126,133.284466,29.147479
11,B,848.1549296,893.9285714,919.4714286,937.8691589,922.752381,954.3457944,28.8238096,89.7142293,34.8743658
13,B,822.5555556,763.8611111,851.0140845,939.2336449,831.8796296,913.3584906,68.0185185,116.6780893,62.3444061
14,B,769.1111111,736.3194444,847.8309859,781.1481481,785.212963,834.4814815,48.8935186,12.037037,-13.3495044
15,B,788.3333333,675.9027778,730.056338,788.9065421,781.6481481,803.5,105.7453703,0.5732088,73.443662
