subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,,self_dif,friend_dif,stranger_dif,,A_self_dif,A_friend_dif,A_stranger_dif,B_self_dif,B_friend_dif,B_stranger_dif
4,B,792.44,593.5373134,763.5,761.7052632,664.1836735,729.9479167,,70.64636004,30.73473684,33.55208333,,,,,,,
5,B,774.1886792,749.5438596,762.1162791,833.1954023,789.2659574,788.6344086,,39.7220978,59.00672305,26.51812953,,,,,,,
6,B,747.28125,626.2,766.4745763,728.7238095,689.8163265,714.0660377,,63.61632653,18.55744048,52.40853854,,,,,,,
7,B,838.5932203,677.880597,842.5,838.1084337,811.185567,774.2840909,,133.30497,0.484786604,68.21590909,,,,,,,
8,B,820.22,826.4918033,733.1363636,853.1304348,908.8979592,798.5392157,,82.4061559,32.91043478,65.40285205,,,,,,,
9,B,882.0909091,881.5362319,961.0819672,1014.777778,970.13,990.9903846,,88.59376812,132.6868687,29.9084174,,,,,,,
10,B,698.5714286,657.5694444,774.6727273,768.6039604,745.5769231,738.2020202,,88.00747863,70.03253182,36.47070707,,,,,,,
11,B,845.3166667,881.25,944.8888889,940.69,929.8709677,955.4166667,,48.62096774,95.37333333,10.52777778,,,,,,,
12,B,849.92,732.1333333,909.4545455,728.2164948,714.6590909,721.5,,17.47424242,121.7035052,187.9545455,,,,,,,
13,B,826.3880597,754.7746479,862.7142857,962.0638298,838.755102,922.1980198,,83.98045415,135.6757701,59.48373409,,,,,,,
14,B,755.2741935,742.5735294,838.1587302,791,786.3173077,841.6930693,,43.74377828,35.72580645,3.534339148,,,,,,,
15,B,800.2,676.0597015,757.9423077,798.8350515,787.7282609,810.6333333,,111.6685594,1.364948454,52.69102564,,,,,,,
16,B,874.4444444,875.6779661,908.9622642,895.627907,933.59375,949.0666667,,57.9157839,21.18346253,40.10440252,,,,,,,
17,B,881.8730159,619.2714286,934.0526316,813.576087,800.9896907,888.0238095,,181.7182622,68.29692892,46.02882206,,,,,,,
18,B,861.1052632,700.4925373,828.1568627,914.2916667,866.2268041,806.4848485,,165.7342668,53.18640351,21.67201426,,,,,,,
19,B,907.8545455,773.4411765,948.2745098,967.505618,905.5168539,953.2222222,,132.0756775,59.65107252,4.947712418,,,,,,,
20,B,724.75,777.1923077,846.75,761.7126437,778.7849462,797.8072289,,1.592638544,36.96264368,48.94277108,,,,,,,
21,B,724.2083333,1029.479167,1050.723404,920.35,913.8969072,1016.21978,,115.5822595,196.1416667,34.50362404,,,,,,,
22,B,824.2794118,963.6923077,913.530303,977.5483871,997,1028.409639,,33.30769231,153.2689753,114.8793355,,,,,,,
23,B,860.9402985,874.9117647,963.4848485,959.2022472,965.7184466,959.0594059,,90.8066819,98.26194868,4.425442544,,,,,,,
24,B,656.3142857,610.3529412,690.4354839,690.7623762,683.184466,669.6470588,,72.83152484,34.44809052,20.78842505,,,,,,,
25,B,666.3,575.119403,647.9384615,697.4766355,642.2358491,746.0571429,,67.11644607,31.17663551,98.11868132,,,,,,,
