"","subj_idx","gender","year","rt","matchness","label","word","ACC"
"1",1,1,"2005",1022,"match","stranger","生人",1
"2",1,1,"2005",896,"mismatch","stranger","自我",1
"3",1,1,"2005",1025,"mismatch","self","生人",1
"4",1,1,"2005",822,"match","self","自我",1
"5",1,1,"2005",955,"match","stranger","生人",1
"6",1,1,"2005",998,"mismatch","self","朋友",1
"7",1,1,"2005",823,"match","friend","朋友",1
"8",1,1,"2005",1069,"match","self","自我",1
"9",1,1,"2005",781,"match","friend","朋友",1
"10",1,1,"2005",769,"match","self","自我",1
"11",1,1,"2005",912,"match","stranger","生人",1
"12",1,1,"2005",705,"match","friend","朋友",1
"13",1,1,"2005",938,"mismatch","friend","生人",1
"14",1,1,"2005",934,"mismatch","stranger","朋友",1
"15",1,1,"2005",988,"mismatch","friend","自我",1
"16",1,1,"2005",1187,"match","stranger","生人",1
"17",1,1,"2005",1172,"mismatch","stranger","朋友",1
"18",1,1,"2005",733,"match","friend","朋友",1
"19",1,1,"2005",929,"mismatch","self","生人",1
"20",1,1,"2005",713,"match","friend","朋友",1
"21",1,1,"2005",674,"match","self","自我",1
"22",1,1,"2005",838,"mismatch","friend","生人",1
"23",1,1,"2005",919,"match","stranger","生人",0
"24",1,1,"2005",781,"mismatch","stranger","自我",1
"25",1,1,"2005",772,"match","friend","朋友",1
"26",1,1,"2005",756,"match","self","自我",1
"27",1,1,"2005",1061,"mismatch","self","朋友",1
"28",1,1,"2005",879,"match","stranger","生人",1
"29",1,1,"2005",912,"mismatch","friend","自我",1
"30",1,1,"2005",667,"match","self","自我",1
"31",1,1,"2005",814,"match","friend","朋友",1
"32",1,1,"2005",700,"match","self","自我",1
"33",1,1,"2005",1160,"mismatch","friend","生人",1
"34",1,1,"2005",1066,"match","stranger","生人",1
"35",1,1,"2005",889,"match","friend","朋友",1
"36",1,1,"2005",751,"mismatch","stranger","自我",1
"37",1,1,"2005",629,"mismatch","self","生人",0
"38",1,1,"2005",879,"match","stranger","生人",1
"39",1,1,"2005",712,"match","self","自我",1
"40",1,1,"2005",867,"match","stranger","生人",1
"41",1,1,"2005",642,"match","self","自我",1
"42",1,1,"2005",705,"mismatch","friend","自我",1
"43",1,1,"2005",784,"match","friend","朋友",1
"44",1,1,"2005",901,"mismatch","stranger","朋友",0
"45",1,1,"2005",785,"mismatch","self","朋友",1
"46",1,1,"2005",861,"mismatch","stranger","朋友",0
"47",1,1,"2005",704,"mismatch","self","生人",1
"48",1,1,"2005",858,"match","stranger","生人",1
"49",1,1,"2005",661,"match","friend","朋友",1
"50",1,1,"2005",661,"mismatch","friend","自我",1
"51",1,1,"2005",666,"match","friend","朋友",1
"52",1,1,"2005",498,"match","self","自我",1
"53",1,1,"2005",812,"match","self","自我",1
"54",1,1,"2005",632,"match","stranger","生人",0
"55",1,1,"2005",581,"match","self","自我",1
"56",1,1,"2005",823,"mismatch","friend","生人",1
"57",1,1,"2005",692,"match","friend","朋友",1
"58",1,1,"2005",763,"mismatch","self","朋友",1
"59",1,1,"2005",767,"match","stranger","生人",1
"60",1,1,"2005",1102,"mismatch","stranger","自我",1
"61",1,1,"2005",938,"mismatch","stranger","朋友",1
"62",1,1,"2005",994,"match","stranger","生人",0
"63",1,1,"2005",1118,"mismatch","self","朋友",1
"64",1,1,"2005",924,"match","stranger","生人",1
"65",1,1,"2005",713,"mismatch","stranger","自我",1
"66",1,1,"2005",542,"match","self","自我",1
"67",1,1,"2005",926,"match","friend","朋友",1
"68",1,1,"2005",831,"mismatch","friend","生人",1
"69",1,1,"2005",572,"match","self","自我",1
"70",1,1,"2005",653,"match","friend","朋友",1
"71",1,1,"2005",620,"match","self","自我",1
"72",1,1,"2005",916,"mismatch","friend","自我",1
"73",1,1,"2005",540,"match","friend","朋友",1
"74",1,1,"2005",541,"match","stranger","生人",0
"75",1,1,"2005",648,"mismatch","self","生人",1
"76",1,1,"2005",572,"match","friend","朋友",1
"77",1,1,"2005",642,"match","stranger","生人",0
"78",1,1,"2005",455,"match","self","自我",1
"79",1,1,"2005",609,"mismatch","friend","自我",1
"80",1,1,"2005",447,"mismatch","stranger","朋友",0
"81",1,1,"2005",586,"match","friend","朋友",1
"82",1,1,"2005",401,"mismatch","self","朋友",0
"83",1,1,"2005",546,"mismatch","friend","生人",1
"84",1,1,"2005",505,"match","self","自我",1
"85",1,1,"2005",703,"match","friend","朋友",1
"86",1,1,"2005",564,"mismatch","stranger","自我",1
"87",1,1,"2005",853,"match","stranger","生人",1
"88",1,1,"2005",522,"match","self","自我",1
"89",1,1,"2005",647,"mismatch","self","生人",1
"90",1,1,"2005",770,"match","stranger","生人",0
"91",1,1,"2005",1260,"match","friend","朋友",1
"92",1,1,"2005",1000,"match","friend","朋友",1
"93",1,1,"2005",718,"match","self","自我",1
"94",1,1,"2005",1171,"mismatch","self","朋友",1
"95",1,1,"2005",774,"mismatch","stranger","朋友",1
"96",1,1,"2005",588,"match","self","自我",1
"97",1,1,"2005",874,"mismatch","friend","自我",1
"98",1,1,"2005",512,"match","self","自我",1
"99",1,1,"2005",906,"match","stranger","生人",1
"100",1,1,"2005",748,"mismatch","stranger","自我",1
"101",1,1,"2005",703,"match","friend","朋友",1
"102",1,1,"2005",844,"match","stranger","生人",1
"103",1,1,"2005",840,"match","stranger","生人",1
"104",1,1,"2005",720,"mismatch","friend","生人",0
"105",1,1,"2005",776,"mismatch","self","生人",1
"106",1,1,"2005",787,"mismatch","stranger","朋友",1
"107",1,1,"2005",544,"match","self","自我",1
"108",1,1,"2005",556,"match","friend","朋友",1
"109",1,1,"2005",863,"mismatch","friend","生人",1
"110",1,1,"2005",666,"match","friend","朋友",1
"111",1,1,"2005",643,"mismatch","friend","自我",1
"112",1,1,"2005",658,"mismatch","self","生人",1
"113",1,1,"2005",662,"match","friend","朋友",1
"114",1,1,"2005",844,"match","stranger","生人",1
"115",1,1,"2005",636,"match","self","自我",1
"116",1,1,"2005",974,"mismatch","self","朋友",1
"117",1,1,"2005",1024,"match","self","自我",0
"118",1,1,"2005",966,"mismatch","stranger","自我",1
"119",1,1,"2005",1075,"match","stranger","生人",1
"120",1,1,"2005",766,"match","stranger","生人",1
"121",1,1,"2005",803,"mismatch","friend","自我",1
"122",1,1,"2005",569,"match","self","自我",1
"123",1,1,"2005",594,"match","friend","朋友",1
"124",1,1,"2005",881,"match","self","自我",1
"125",1,1,"2005",724,"mismatch","stranger","自我",1
"126",1,1,"2005",694,"match","friend","朋友",1
"127",1,1,"2005",902,"match","stranger","生人",1
"128",1,1,"2005",937,"mismatch","friend","生人",1
"129",1,1,"2005",789,"match","stranger","生人",1
"130",1,1,"2005",744,"match","stranger","生人",1
"131",1,1,"2005",562,"match","friend","朋友",1
"132",1,1,"2005",933,"mismatch","self","生人",1
"133",1,1,"2005",588,"match","self","自我",1
"134",1,1,"2005",925,"mismatch","stranger","朋友",1
"135",1,1,"2005",607,"mismatch","self","朋友",0
"136",1,1,"2005",621,"match","self","自我",1
"137",1,1,"2005",929,"mismatch","friend","生人",1
"138",1,1,"2005",624,"match","self","自我",1
"139",1,1,"2005",1061,"mismatch","self","生人",1
"140",1,1,"2005",980,"mismatch","stranger","朋友",1
"141",1,1,"2005",611,"match","self","自我",1
"142",1,1,"2005",863,"mismatch","friend","自我",1
"143",1,1,"2005",1041,"match","stranger","生人",1
"144",1,1,"2005",795,"mismatch","stranger","自我",1
"145",1,1,"2005",793,"mismatch","self","朋友",1
"146",1,1,"2005",612,"match","friend","朋友",1
"147",1,1,"2005",670,"match","friend","朋友",1
"148",1,1,"2005",810,"match","stranger","生人",1
"149",1,1,"2005",834,"match","stranger","生人",1
"150",1,1,"2005",658,"match","friend","朋友",1
"151",1,1,"2005",645,"match","self","自我",1
"152",1,1,"2005",519,"mismatch","stranger","自我",0
"153",1,1,"2005",664,"match","friend","朋友",1
"154",1,1,"2005",774,"mismatch","friend","生人",1
"155",1,1,"2005",804,"match","stranger","生人",1
"156",1,1,"2005",793,"match","stranger","生人",1
"157",1,1,"2005",631,"match","friend","朋友",1
"158",1,1,"2005",1091,"mismatch","friend","自我",1
"159",1,1,"2005",827,"mismatch","self","朋友",1
"160",1,1,"2005",604,"match","friend","朋友",1
"161",1,1,"2005",740,"match","stranger","生人",1
"162",1,1,"2005",720,"mismatch","stranger","朋友",1
"163",1,1,"2005",599,"match","self","自我",1
"164",1,1,"2005",773,"mismatch","self","生人",1
"165",1,1,"2005",594,"match","self","自我",1
"166",1,1,"2005",636,"match","friend","朋友",1
"167",1,1,"2005",740,"mismatch","stranger","朋友",1
"168",1,1,"2005",715,"match","stranger","生人",1
"169",1,1,"2005",582,"match","friend","朋友",1
"170",1,1,"2005",853,"mismatch","self","生人",1
"171",1,1,"2005",624,"match","self","自我",1
"172",1,1,"2005",702,"match","stranger","生人",1
"173",1,1,"2005",577,"match","self","自我",1
"174",1,1,"2005",774,"mismatch","friend","生人",1
"175",1,1,"2005",493,"mismatch","self","朋友",0
"176",1,1,"2005",707,"match","friend","朋友",1
"177",1,1,"2005",647,"mismatch","friend","自我",1
"178",1,1,"2005",654,"match","stranger","生人",1
"179",1,1,"2005",877,"mismatch","stranger","自我",1
"180",1,1,"2005",705,"match","self","自我",1
"181",1,1,"2005",779,"mismatch","self","朋友",1
"182",1,1,"2005",679,"match","stranger","生人",1
"183",1,1,"2005",811,"mismatch","self","生人",1
"184",1,1,"2005",663,"match","stranger","生人",1
"185",1,1,"2005",749,"match","friend","朋友",1
"186",1,1,"2005",604,"match","self","自我",1
"187",1,1,"2005",559,"match","self","自我",1
"188",1,1,"2005",603,"match","friend","朋友",0
"189",1,1,"2005",745,"mismatch","stranger","自我",1
"190",1,1,"2005",600,"match","friend","朋友",1
"191",1,1,"2005",763,"mismatch","stranger","朋友",1
"192",1,1,"2005",787,"match","stranger","生人",1
"193",1,1,"2005",656,"match","self","自我",1
"194",1,1,"2005",857,"mismatch","friend","生人",1
"195",1,1,"2005",1032,"mismatch","friend","自我",1
"196",1,1,"2005",669,"match","friend","朋友",1
"197",1,1,"2005",854,"mismatch","friend","生人",1
"198",1,1,"2005",834,"match","stranger","生人",1
"199",1,1,"2005",782,"mismatch","stranger","自我",1
"200",1,1,"2005",776,"mismatch","self","朋友",1
"201",1,1,"2005",604,"match","self","自我",1
"202",1,1,"2005",862,"mismatch","friend","自我",1
"203",1,1,"2005",748,"match","stranger","生人",1
"204",1,1,"2005",687,"match","self","自我",1
"205",1,1,"2005",1133,"match","friend","朋友",1
"206",1,1,"2005",946,"mismatch","stranger","朋友",1
"207",1,1,"2005",813,"mismatch","self","生人",1
"208",1,1,"2005",639,"match","self","自我",1
"209",1,1,"2005",606,"match","friend","朋友",1
"210",1,1,"2005",527,"match","stranger","生人",1
"211",1,1,"2005",860,"mismatch","friend","生人",1
"212",1,1,"2005",599,"match","self","自我",1
"213",1,1,"2005",848,"mismatch","friend","自我",1
"214",1,1,"2005",752,"match","stranger","生人",1
"215",1,1,"2005",713,"mismatch","stranger","自我",1
"216",1,1,"2005",784,"mismatch","stranger","朋友",1
"217",1,1,"2005",699,"match","stranger","生人",1
"218",1,1,"2005",670,"match","self","自我",1
"219",1,1,"2005",742,"mismatch","self","朋友",1
"220",1,1,"2005",611,"match","friend","朋友",1
"221",1,1,"2005",758,"match","stranger","生人",1
"222",1,1,"2005",499,"match","self","自我",1
"223",1,1,"2005",558,"mismatch","self","生人",1
"224",1,1,"2005",559,"match","friend","朋友",1
"225",1,1,"2005",605,"match","friend","朋友",1
"226",1,1,"2005",788,"mismatch","stranger","自我",1
"227",1,1,"2005",670,"match","friend","朋友",1
"228",1,1,"2005",816,"mismatch","stranger","朋友",0
"229",1,1,"2005",959,"match","stranger","生人",1
"230",1,1,"2005",587,"match","self","自我",1
"231",1,1,"2005",601,"match","self","自我",1
"232",1,1,"2005",653,"match","friend","朋友",1
"233",1,1,"2005",619,"match","friend","朋友",1
"234",1,1,"2005",575,"match","self","自我",1
"235",1,1,"2005",916,"mismatch","friend","生人",1
"236",1,1,"2005",786,"mismatch","friend","自我",1
"237",1,1,"2005",785,"match","stranger","生人",1
"238",1,1,"2005",891,"mismatch","self","朋友",1
"239",1,1,"2005",732,"match","stranger","生人",1
"240",1,1,"2005",1066,"mismatch","self","生人",1
"241",1,1,"2005",997,"match","stranger","生人",0
"242",1,1,"2005",768,"match","self","自我",1
"243",1,1,"2005",817,"mismatch","friend","自我",1
"244",1,1,"2005",889,"mismatch","self","朋友",1
"245",1,1,"2005",679,"match","self","自我",1
"246",1,1,"2005",763,"match","stranger","生人",1
"247",1,1,"2005",607,"match","self","自我",1
"248",1,1,"2005",752,"match","friend","朋友",1
"249",1,1,"2005",780,"match","friend","朋友",1
"250",1,1,"2005",1060,"mismatch","stranger","自我",0
"251",1,1,"2005",719,"match","friend","朋友",1
"252",1,1,"2005",707,"mismatch","friend","生人",0
"253",1,1,"2005",834,"mismatch","stranger","朋友",1
