subj_idx,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch
31,836.875,630.7183099,849.9787234,839.7608696,770.6896552,844.3333333
32,723.7931034,608.2028986,714.7288136,701.3684211,681.0707071,711.5257732
33,634.2765957,616.6216216,658.9152542,669.8372093,682.5604396,659.3214286
34,792.44,593.5373134,763.5,761.7052632,664.1836735,729.9479167
35,774.1886792,749.5438596,762.1162791,833.1954023,789.2659574,788.6344086
36,747.28125,626.2,766.4745763,728.7238095,689.8163265,714.0660377
37,838.5932203,677.880597,842.5,838.1084337,811.185567,774.2840909
38,820.22,826.4918033,733.1363636,853.1304348,908.8979592,798.5392157
39,882.0909091,881.5362319,961.0819672,1014.777778,970.13,990.9903846
40,698.5714286,657.5694444,774.6727273,768.6039604,745.5769231,738.2020202
41,845.3166667,881.25,944.8888889,940.69,929.8709677,955.4166667
42,849.92,732.1333333,909.4545455,728.2164948,714.6590909,721.5
43,826.3880597,754.7746479,862.7142857,962.0638298,838.755102,922.1980198
44,755.2741935,742.5735294,838.1587302,791,786.3173077,841.6930693
45,800.2,676.0597015,757.9423077,798.8350515,787.7282609,810.6333333
46,874.4444444,875.6779661,908.9622642,895.627907,933.59375,949.0666667
47,881.8730159,619.2714286,934.0526316,813.576087,800.9896907,888.0238095
48,861.1052632,700.4925373,828.1568627,914.2916667,866.2268041,806.4848485
49,907.8545455,773.4411765,948.2745098,967.505618,905.5168539,953.2222222
50,724.75,777.1923077,846.75,761.7126437,778.7849462,797.8072289
51,724.2083333,1029.479167,1050.723404,920.35,913.8969072,1016.21978
52,824.2794118,963.6923077,913.530303,977.5483871,997,1028.409639
53,860.9402985,874.9117647,963.4848485,959.2022472,965.7184466,959.0594059
54,656.3142857,610.3529412,690.4354839,690.7623762,683.184466,669.6470588
55,666.3,575.119403,647.9384615,697.4766355,642.2358491,746.0571429
56,643.9491525,615.8387097,680.3114754,695.03,696.3820225,650.31
57,705.7878788,750.4637681,825.9833333,775.7596154,806.55,844.0113636
58,816.9344262,737.7931034,807.3,798.0990099,800.5714286,760.8061224
59,576.5076923,650.4666667,614.2241379,691.8518519,649.03125,660.3586957
60,682.25,732.9,831.7021277,781.8469388,761.6168224,817.8585859
