"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","492","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","6327","0.0-1.0","5834","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","13961","0.0-2.0","7631","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","13962","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","17373","0.0-3.0-1.0","3410","","{""Q0"":""26""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","18678","0.0-3.0-2.0","1302","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","21415","0.0-3.0-3.0","2731","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","24013","0.0-3.0-4.0","2596","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","173184","0.0-4.0","149167","","","","85.6","53.98","394.258977560963","4.61063970981015","621.01","7.8851795512192595","50","0.9131053964252073","25.6","12.34","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","181261","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","472992","0.0-6.0","291724","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7692},{""page_index"":1,""viewing_time"":40634},{""page_index"":2,""viewing_time"":9260},{""page_index"":1,""viewing_time"":1978},{""page_index"":2,""viewing_time"":207848},{""page_index"":1,""viewing_time"":4627},{""page_index"":2,""viewing_time"":15594},{""page_index"":3,""viewing_time"":2524},{""page_index"":4,""viewing_time"":1567}]","","","","","","","","","","","",""
"","","","","","instructions","11","481309","0.0-7.0","8316","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8316}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","493770","0.0-8.0-0.0-0.0","11455","","f","","","","","","","","","","","","","key","f","16.6808344549125","640","396","j","false","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","13","494075","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","497462","0.0-8.0-0.0-0.1","2381","","d","","","","","","","","","","","","","key","d","16.733663366336692","640","396","d","true","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","15","497765","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","503292","0.0-8.0-0.0-0.2","4521","","f","","","","","","","","","","","","","key","f","16.743161094224924","640","396","k","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","17","503595","0.0-8.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","508433","0.0-8.0-0.0-0.3","3833","","d","","","","","","","","","","","","","key","d","16.713564013840934","640","396","j","false","img/H_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","19","508736","0.0-8.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","512235","0.0-8.0-0.0-0.4","2496","","f","","","","","","","","","","","","","key","f","16.792884615384537","640","396","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","21","512537","0.0-8.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","522851","0.0-8.0-0.0-0.5","9310","","f","","","","","","","","","","","","","key","f","16.690048622366305","640","396","k","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","23","523153","0.0-8.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","24","524208","0.0-8.0-0.0-0.6","50","","d","","","","","","","","","","","","","key","d","16.920645161291525","640","396","f","false","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","25","524511","0.0-8.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","26","525575","0.0-8.0-0.0-0.7","58","","f","","","","","","","","","","","","","key","f","17.070645161290397","640","396","d","false","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","27","525878","0.0-8.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","28","528138","0.0-8.0-0.0-0.8","1254","","f","","","","","","","","","","","","","key","f","16.989999999999505","640","396","f","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","29","528441","0.0-8.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","30","529921","0.0-8.0-0.0-0.9","478","","f","","","","","","","","","","","","","key","f","16.830574712643784","640","396","k","false","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","31","530227","0.0-8.0-0.0-1.9","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","32","531745","0.0-8.0-0.0-0.10","516","","f","","","","","","","","","","","","","key","f","16.9964044943826","640","396","j","false","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","33","532048","0.0-8.0-0.0-1.10","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","34","533993","0.0-8.0-0.0-0.11","944","","f","","","","","","","","","","","","","key","f","16.876347826087198","640","396","k","false","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","35","534297","0.0-8.0-0.0-1.11","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","36","536158","0.0-8.0-1.0-0.0","1859","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                           <div><p class='context'>您正确回答了17% 的试次。</p><p class='context'>您的平均反应时为1818毫秒。</p>","f","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","37","551664","0.0-8.0-1.0-1.0","15505","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4398},{""page_index"":1,""viewing_time"":4743},{""page_index"":2,""viewing_time"":6364}]","","","","","","","","","","","",""
"","","","","","psychophysics","38","565088","0.0-8.1-0.1-0.12","12417","","d","","","","","","","","","","","","","key","d","16.70224438902752","640","396","d","true","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","39","565391","0.0-8.1-0.1-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","40","568822","0.0-8.1-0.1-0.13","2424","","f","","","","","","","","","","","","","key","f","16.951683168316787","640","396","k","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","41","569126","0.0-8.1-0.1-1.13","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","42","570482","0.0-8.1-0.1-0.14","351","","d","","","","","","","","","","","","","key","d","16.964810126583398","640","396","k","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","43","570787","0.0-8.1-0.1-1.14","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","44","571826","0.0-8.1-0.1-0.15","35","","f","","","","","","","","","","","","","key","f","16.898688524589325","640","396","f","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","45","572133","0.0-8.1-0.1-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","46","573469","0.0-8.1-0.1-0.16","328","","f","","","","","","","","","","","","","key","f","16.913333333333213","640","396","f","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","47","573773","0.0-8.1-0.1-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","48","575285","0.0-8.1-0.1-0.17","508","","d","","","","","","","","","","","","","key","d","16.816853932585055","640","396","k","false","img/C_28.png","朋友","freeprac_self","",""
