"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","108","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1570","0.0-1.0","1462","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2126","0.0-2.0","556","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","2127","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","5492","0.0-3.0-1.0","3362","","{""Q0"":""9""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","6247","0.0-3.0-2.0","753","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","9957","0.0-3.0-3.0","3707","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","11897","0.0-3.0-4.0","1938","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","49242","0.0-4.0","37345","","","","85.6","53.98","410.82337316660505","4.803807696815858","595.89","8.216467463332101","50","0.9201034427189373","27.32","12.3","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","51958","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","64341","0.0-6.0","12383","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1348},{""page_index"":1,""viewing_time"":5653},{""page_index"":2,""viewing_time"":3178},{""page_index"":3,""viewing_time"":1268},{""page_index"":4,""viewing_time"":936}]","","","","","","","","","","","",""
"","","","","","instructions","11","71649","0.0-7.0","7307","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7306}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","74733","0.0-8.0-0.0-0.0","2079","","d","","","","","","","","","","","","","key","d","16.664480874316972","683","380","f","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","75046","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","79727","0.0-8.0-0.0-0.1","3668","","f","","","","","","","","","","","","","key","f","16.664086021505373","683","380","f","true","img/H_28.png","朋友","freeprac_self","",""
