"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","398","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","5429","0.0-1.0","5030","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","6650","0.0-2.0","1221","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","6652","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","9750","0.0-3.0-1.0","3095","","{""Q0"":""10""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","10696","0.0-3.0-2.0","942","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","12755","0.0-3.0-3.0","2057","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","15900","0.0-3.0-4.0","3144","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","55005","0.0-4.0","39102","","","","85.6","53.98","468.661467676868","5.474199300872961","522.08","9.37322935353736","50.00000000000001","1.0284609110052303","38.39999999999999","17.459999999999997","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","57026","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","80638","0.0-6.0","23609","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1816},{""page_index"":1,""viewing_time"":8513},{""page_index"":2,""viewing_time"":7895},{""page_index"":3,""viewing_time"":3385},{""page_index"":4,""viewing_time"":2000}]","","","","","","","","","","","",""
"","","","","","instructions","11","90926","0.0-7.0","10287","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10287}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","92955","0.0-8.0-0.0-0.0","1021","","k","","","","","","","","","","","","","key","k","16.660666666666657","960","536","k","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","13","93257","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","100205","0.0-8.0-0.0-0.1","5946","","f","","","","","","","","","","","","","key","f","16.66110843373494","960","536","f","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","15","100507","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","104259","0.0-8.0-0.0-0.2","2749","","d","","","","","","","","","","","","","key","d","16.736144144144205","960","536","d","true","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","17","104561","0.0-8.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","106914","0.0-8.0-0.0-0.3","1350","","f","","","","","","","","","","","","","key","f","16.660992857142887","960","536","f","true","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","19","107216","0.0-8.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","110231","0.0-8.0-0.0-0.4","2012","","d","","","","","","","","","","","","","key","d","16.661391061452488","960","536","d","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","21","110533","0.0-8.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","113048","0.0-8.0-0.0-0.5","1512","","f","","","","","","","","","","","","","key","f","16.661187919463135","960","536","j","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","23","113351","0.0-8.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","24","116588","0.0-8.0-0.0-0.6","2236","","d","","","","","","","","","","","","","key","d","16.661114583333376","960","536","d","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","25","116890","0.0-8.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","26","120471","0.0-8.0-0.0-0.7","2580","","f","","","","","","","","","","","","","key","f","16.660934579439264","960","536","f","true","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","27","120773","0.0-8.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","28","124625","0.0-8.0-0.0-0.8","2850","","d","","","","","","","","","","","","","key","d","16.661221739130458","960","536","f","false","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","29","124927","0.0-8.0-0.0-1.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","30","129825","0.0-8.0-0.0-0.9","3896","","j","","","","","","","","","","","","","key","j","16.775886206896544","960","536","j","true","img/H_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","31","130128","0.0-8.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","32","132467","0.0-8.0-0.0-0.10","1338","","k","","","","","","","","","","","","","key","k","16.661115107913595","960","536","k","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","33","132768","0.0-8.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","34","136860","0.0-8.0-0.0-0.11","3089","","d","","","","","","","","","","","","","key","d","16.661221311475366","960","536","d","true","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","35","137162","0.0-8.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","36","145528","0.0-9.0","8362","[""<style>.context{color:white; font-size: 35px; line-height:40px}</style>              <div><p class='context'>您正确回答了83% 的试次。</p><p class='context'>您的平均反应时为2622毫秒。</p><p class='context'>恭喜您完成这一阶段的练习。按任意键进入<span style='color: yellow;'>重点关注图形为“朋友”</span>的练习。</p></div><p class='footer' style='font-size:35px; line-height:30px;'>任务要求：\n              <p class='footer' style='font-size:35px; line-height:35px;'>对于与“朋友”对应的图形：如果 匹配 ，请按 <span style=\""color: lightgreen;\"">k键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">j键</p></span>\n              <p class='footer' style='font-size:35px; line-height:35px;'>对于非“朋友”对应的图形：如果 匹配 ，请按 <span style=\""color: lightgreen;\"">d键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">f键</p></span>\n              <p class='footer' style='font-size:22px; line-height:25px;'>请在实验过程中将您的<span style=\""color: lightgreen;\"">食指和中指</span>放在电脑键盘的相应键位上进行按键。</p></span>""]"," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","37","151606","0.0-10.0-0.0-0.0","5069","","j","","","","","","","","","","","","","key","j","16.662429752066114","960","536","j","true","img/C_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","38","151908","0.0-10.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","39","154440","0.0-10.0-0.0-0.1","1530","","k","","","","","","","","","","","","","key","k","16.661246666666703","960","536","k","true","img/C_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","40","154742","0.0-10.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","41","158758","0.0-10.0-0.0-0.2","3014","","f","","","","","","","","","","","","","key","f","16.661058333333372","960","536","f","true","img/H_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","42","159060","0.0-10.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","43","163054","0.0-10.0-0.0-0.3","2991","","f","","","","","","","","","","","","","key","f","16.66116806722692","960","536","f","true","img/S_28.png","自我","freeprac_friend","",""
"","","","","","html-keyboard-response","44","163357","0.0-10.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","45","167263","0.0-10.0-0.0-0.4","2904","","d","","","","","","","","","","","","","key","d","16.661042918455003","960","536","d","true","img/H_28.png","自我","freeprac_friend","",""
"","","","","","html-keyboard-response","46","167567","0.0-10.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","47","171476","0.0-10.0-0.0-0.5","2905","","j","","","","","","","","","","","","","key","j","16.66109442060087","960","536","k","false","img/C_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","48","171778","0.0-10.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","49","174624","0.0-10.0-0.0-0.6","1843","","k","","","","","","","","","","","","","key","k","16.661207100591753","960","536","d","false","img/S_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","50","174925","0.0-10.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","51","182636","0.0-10.0-0.0-0.7","6707","","f","","","","","","","","","","","","","key","f","16.66102164502163","960","536","f","true","img/S_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","52","182938","0.0-10.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","53","186484","0.0-10.0-0.0-0.8","2545","","f","","","","","","","","","","","","","key","f","16.661037735849124","960","536","f","true","img/H_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","54","186785","0.0-10.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","55","189978","0.0-10.0-0.0-0.9","2191","","d","","","","","","","","","","","","","key","d","16.661342105263152","960","536","d","true","img/S_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","56","190281","0.0-10.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","57","193386","0.0-10.0-0.0-0.10","2102","","d","","","","","","","","","","","","","key","d","16.66100000000002","960","536","d","true","img/H_28.png","自我","freeprac_friend","",""
"","","","","","html-keyboard-response","58","193689","0.0-10.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","59","198460","0.0-10.0-0.0-0.11","3770","","j","","","","","","","","","","","","","key","j","16.660807017543917","960","536","j","true","img/C_28.png","自我","freeprac_friend","",""
"","","","","","html-keyboard-response","60","198763","0.0-10.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
