"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","1016","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","66894","0.0-1.0","65876","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","68955","0.0-2.0","2060","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","68963","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","74315","0.0-3.0-1.0","5237","","{""Q0"":""7""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","75608","0.0-3.0-2.0","1282","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","79735","0.0-3.0-3.0","4123","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","85132","0.0-3.0-4.0","5390","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","234383","0.0-4.0","148914","","","","85.6","53.98","469.0192129747266","5.4830899396472335","521.68","9.380384259494532","50","0.7441059776346648","27.12","13.24","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","237590","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","324503","0.0-6.0","86912","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3856},{""page_index"":1,""viewing_time"":9784},{""page_index"":2,""viewing_time"":64176},{""page_index"":3,""viewing_time"":6712},{""page_index"":4,""viewing_time"":2384}]","","","","","","","","","","","",""
