"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","127231","0.0-1.0","127229","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  ","shift","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","127616","0.0-2.0","385","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","127618","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","151063","0.0-3.0-1.0","23443","","{""Q0"":""53""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","152134","0.0-3.0-2.0","1069","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","155094","0.0-3.0-3.0","2960","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","156942","0.0-3.0-4.0","1847","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","321546","0.0-4.0","164602","","","","85.6","53.98","571.9088480521525","6.6811781314503795","427.36","11.438176961043048","50","0.7483710060750286","30.72","17.28","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","325018","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","406745","0.0-6.0","81726","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7057},{""page_index"":1,""viewing_time"":6872},{""page_index"":2,""viewing_time"":59989},{""page_index"":3,""viewing_time"":5094},{""page_index"":4,""viewing_time"":2713}]","","","","","","","","","","","",""
"","","","","","instructions","11","419020","0.0-7.0","12274","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12274}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","422941","0.0-8.0-0.0-0.0","2911","","f","","","","","","","","","","","","","key","f","16.65356410256414","768","428","k","false","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","13","423256","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","425735","0.0-8.0-0.0-0.1","1476","","d","","","","","","","","","","","","","key","d","16.6536418918919","768","428","k","false","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","15","426045","0.0-8.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","432478","0.0-8.0-0.0-0.2","5427","","d","","","","","","","","","","","","","key","d","16.65290414507759","768","428","k","false","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","17","432785","0.0-8.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","437835","0.0-8.0-0.0-0.3","4042","","d","","","","","","","","","","","","","key","d","16.65258609271525","768","428","j","false","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","19","438151","0.0-8.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","441487","0.0-8.0-0.0-0.4","2331","","f","","","","","","","","","","","","","key","f","16.652482412060216","768","428","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","21","441791","0.0-8.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","444749","0.0-8.0-0.0-0.5","1955","","d","","","","","","","","","","","","","key","d","16.747881355932204","768","428","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","23","445051","0.0-8.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","24","448388","0.0-8.0-0.0-0.6","2330","","j","","","","","","","","","","","","","key","j","16.653467336683605","768","428","j","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","25","448690","0.0-8.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","26","451046","0.0-8.0-0.0-0.7","1346","","k","","","","","","","","","","","","","key","k","16.653276595744842","768","428","d","false","img/H_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","27","451355","0.0-8.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","28","453301","0.0-8.0-0.0-0.8","940","","j","","","","","","","","","","","","","key","j","16.653086956522085","768","428","d","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","29","453604","0.0-8.0-0.0-1.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","30","457610","0.0-8.0-0.0-0.9","2999","","k","","","","","","","","","","","","","key","k","16.653518828452093","768","428","k","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","31","457915","0.0-8.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","32","460800","0.0-8.0-0.0-0.10","1875","","k","","","","","","","","","","","","","key","k","16.65422543352591","768","428","f","false","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","33","461108","0.0-8.0-0.0-1.10","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","34","465893","0.0-8.0-0.0-0.11","3784","","k","","","","","","","","","","","","","key","k","16.653358885017305","768","428","f","false","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","35","466202","0.0-8.0-0.0-1.11","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","36","474544","0.0-8.0-1.0-0.0","8340","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                           <div><p class='context'>您正确回答了17% 的试次。</p><p class='context'>您的平均反应时为2665毫秒。</p>"," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","37","597654","0.0-8.0-1.0-1.0","123108","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6991},{""page_index"":1,""viewing_time"":113500},{""page_index"":2,""viewing_time"":2616}]","","","","","","","","","","","",""
"","","","","","psychophysics","38","602851","0.0-8.1-0.1-0.12","4191","","k","","","","","","","","","","","","","key","k","16.652909967845822","768","428","k","true","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","39","603164","0.0-8.1-0.1-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","40","607063","0.0-8.1-0.1-0.13","2885","","k","","","","","","","","","","","","","key","k","16.652596566523826","768","428","d","false","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","41","607372","0.0-8.1-0.1-1.13","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","42","612217","0.0-8.1-0.1-0.14","3842","","d","","","","","","","","","","","","","key","d","16.65202422145308","768","428","k","false","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","43","612525","0.0-8.1-0.1-1.14","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","44","618277","0.0-8.1-0.1-0.15","4745","","k","","","","","","","","","","","","","key","k","16.652366279070076","768","428","d","false","img/H_28.png","朋友","freeprac_self","",""
