"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","444","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","21957","0.0-1.0","21513","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","shift","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","53405","0.0-2.0","31448","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","53405","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","58102","0.0-3.0-1.0","4695","","{""Q0"":""58""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","59038","0.0-3.0-2.0","935","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","62909","0.0-3.0-3.0","3871","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","65271","0.0-3.0-4.0","2360","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","237350","0.0-4.0","172078","","","","85.6","53.98","329.5114511059077","3.8472688345338417","743.39","6.590229022118155","50","1.1228744820800747","30.72","14.78","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","240348","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","357837","0.0-6.0","117488","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4880},{""page_index"":1,""viewing_time"":4448},{""page_index"":2,""viewing_time"":2688},{""page_index"":1,""viewing_time"":9272},{""page_index"":2,""viewing_time"":90992},{""page_index"":3,""viewing_time"":3008},{""page_index"":4,""viewing_time"":2200}]","","","","","","","","","","","",""
"","","","","","instructions","11","387701","0.0-7.0","29863","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29863}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","389901","0.0-8.0-0.0-0.0","1196","","j","","","","","","","","","","","","","key","j","16.659407692307678","768","428","d","false","img/S_28.png","生人","freeprac_self","",""
