"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","4151","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","10308","0.0-1.0","6156","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  ","audiovolumeup","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10561","0.0-2.0","253","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  ","audiovolumeup","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","10563","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","59643","0.0-3.0-1.0","49078","","{""Q0"":""11""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","61164","0.0-3.0-2.0","1519","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","66766","0.0-3.0-3.0","5601","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","70064","0.0-3.0-4.0","3297","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","221273","0.0-4.0","151207","","","","85.6","53.98","458.9981983742832","5.362230137405725","533.12","9.179963967485664","50","0.9193935869349239","28.74","16.3","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","227609","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","316448","0.0-6.0","88837","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9716},{""page_index"":1,""viewing_time"":15615},{""page_index"":2,""viewing_time"":42218},{""page_index"":3,""viewing_time"":18411},{""page_index"":4,""viewing_time"":2877}]","","","","","","","","","","","",""
"","","","","","instructions","11","346032","0.0-7.0","29584","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29584}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","348532","0.0-8.0-0.0-0.0","1488","","j","","","","","","","","","","","","","key","j","16.581777027027044","747","463","k","false","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","348845","0.0-8.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","351178","0.0-8.0-0.0-0.1","1329","","f","","","","","","","","","","","","","key","f","16.66629496402871","747","463","f","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","15","351481","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","354747","0.0-8.0-0.0-0.2","2264","","k","","","","","","","","","","","","","key","k","16.666225641025587","747","463","k","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","17","355048","0.0-8.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","356784","0.0-8.0-0.0-0.3","735","","k","","","","","","","","","","","","","key","k","16.532679611650856","747","463","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","19","357085","0.0-8.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
