"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","34","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2922","0.0-1.0","2887","
  <p>您好，欢迎参加本次实验。</p>
  <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
  <p>如果您未见过上述内容，请咨询实验员。</p>
  <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
  <p> <div style = ""color: green""><按任意键至下页></div> </p>
  ","s","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","3546","0.0-2.0","623","
  <p>本实验首先需要您填写一些基本个人信息。</p>
  <p> <div style = ""color: green""><按任意键至下页></div></p>
  ","s","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","3546","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","6097","0.0-3.0-1.0","2551","","{""Q0"":""29""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","6841","0.0-3.0-2.0","742","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","9434","0.0-3.0-3.0","2592","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","11393","0.0-3.0-4.0","1958","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","32993","0.0-4.0","21053","","","","85.6","53.98","484.9160521322848","5.663819488905086","504.5","9.698321042645695","50","0.5155531537895969","37.52","18.88","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","35419","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","45784","0.0-6.0","10364","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1100},{""page_index"":1,""viewing_time"":3191},{""page_index"":2,""viewing_time"":3648},{""page_index"":3,""viewing_time"":1432},{""page_index"":4,""viewing_time"":992}]","","","","","","","","","","","",""
"","","","","","instructions","11","52112","0.0-7.0","6327","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6326}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","54665","0.0-8.0-0.0-0.0","1548","","j","","","","","","","","","","","","","key","j","19.48639999999997","960","536","j","true","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","54967","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","56622","0.0-8.0-0.0-0.1","653","","j","","","","","","","","","","","","","key","j","20.369555555555568","960","536","j","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","15","56925","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","58986","0.0-8.0-0.0-0.2","1059","","f","","","","","","","","","","","","","key","f","18.484109090909094","960","536","f","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","17","59287","0.0-8.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","61689","0.0-8.0-0.0-0.3","1399","","d","","","","","","","","","","","","","key","d","20.027210084033655","960","536","d","true","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","19","61991","0.0-8.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","64913","0.0-8.0-0.0-0.4","1921","","k","","","","","","","","","","","","","key","k","18.953490196078466","960","536","k","true","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","21","65215","0.0-8.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","67672","0.0-8.0-0.0-0.5","1456","","k","","","","","","","","","","","","","key","k","19.44366666666674","960","536","k","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","23","67974","0.0-8.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","24","70544","0.0-8.0-0.0-0.6","1568","","d","","","","","","","","","","","","","key","d","18.61239416058395","960","536","k","false","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","25","70847","0.0-8.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","26","73538","0.0-8.0-0.0-0.7","1689","","k","","","","","","","","","","","","","key","k","19.87574814814822","960","536","d","false","img/H_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","27","73840","0.0-8.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","28","75961","0.0-8.0-0.0-0.8","1119","","f","","","","","","","","","","","","","key","f","19.62538317757007","960","536","f","true","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","29","76262","0.0-8.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","30","78816","0.0-8.0-0.0-0.9","1552","","k","","","","","","","","","","","","","key","k","19.790875000000028","960","536","j","false","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","31","79118","0.0-8.0-0.0-1.9","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","32","81616","0.0-8.0-0.0-0.10","1497","","k","","","","","","","","","","","","","key","k","19.101800000000086","960","536","k","true","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","33","81918","0.0-8.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","34","84072","0.0-8.0-0.0-0.11","1147","","j","","","","","","","","","","","","","key","j","18.694904347826125","960","536","j","true","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","35","84374","0.0-8.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","36","85488","0.0-9.0","1111","[""<style>.context{color:white; font-size: 35px; line-height:40px}</style>           <div><p class='context'>您正确回答了75% 的试次。</p><p class='context'>您的平均反应时为1311毫秒。</p><p class='context'>恭喜您完成这一阶段的练习。按任意键进入<span style='color: yellow;'>重点关注图形为“朋友”</span>的练习。</p></div><p class='footer' style='font-size:35px; line-height:30px;'>任务要求：\n           <p class='footer' style='font-size:35px; line-height:35px;'>对于与“朋友”对应的图形：如果 匹配 ，请按 <span style=\""color: lightgreen;\"">f键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">d键</p></span>\n           <p class='footer' style='font-size:35px; line-height:35px;'>对于非“朋友”对应的图形：如果 匹配 ，请按 <span style=\""color: lightgreen;\"">j键</span></p><p class='footer' style='font-size:35px'>如果 不匹配 ，请按<span style=\""color: lightgreen;\"">k键</p></span>\n           <p class='footer' style='font-size:22px; line-height:25px;'>请在实验过程中将您的<span style=\""color: lightgreen;\"">食指和中指</span>放在电脑键盘的相应键位上进行按键。</p></span>""]","j","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","37","88139","0.0-10.0-0.0-0.0","1644","","j","","","","","","","","","","","","","key","j","20.572093750000022","960","536","j","true","img/C_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","38","88441","0.0-10.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","39","90312","0.0-10.0-0.0-0.1","869","","j","","","","","","","","","","","","","key","j","19.07140206185574","960","536","j","true","img/C_28.png","生人","freeprac_friend","",""
"","","","","","html-keyboard-response","40","90614","0.0-10.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","41","92588","0.0-10.0-0.0-0.2","975","","j","","","","","","","","","","","","","key","j","21.375956521739166","960","536","j","true","img/H_28.png","自我","freeprac_friend","",""
"","","","","","html-keyboard-response","42","92889","0.0-10.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","43","94772","0.0-10.0-0.0-0.3","881","","f","","","","","","","","","","","","","key","f","18.665920000000042","960","536","f","true","img/S_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","44","95074","0.0-10.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","45","97151","0.0-10.0-0.0-0.4","1074","","d","","","","","","","","","","","","","key","d","19.550500000000074","960","536","k","false","img/H_28.png","朋友","freeprac_friend","",""
"","","","","","html-keyboard-response","46","97452","0.0-10.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","47","99956","0.0-10.0-0.0-0.5","1501","","k","","","","","","","","","","","","","key","k","18.9559847328244","960","536","k","true","img/C_28.png","朋友","freeprac_friend","",""
