"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","condition","correct_response","correct","Image","LeftLable","RightLable","shape","screen_id"
"true","false","[]","[]","[]","preload","0","34","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1335","0.0-1.0","1301","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1840","0.0-2.0","504","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","1842","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","4700","0.0-3.0-1.0","2855","","{""Q0"":""101""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","5794","0.0-3.0-2.0","1092","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","7119","0.0-3.0-3.0","1323","","{""Q0"":""1900""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","8935","0.0-3.0-4.0","1814","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","23818","0.0-4.0","14879","","","","85.6","53.98","426.270973538592","4.9827620555524605","574.22","8.525419470771839","50","0.6943939849875843","22.32","11.44","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","25402","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","31326","0.0-6.0","5924","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1717},{""page_index"":1,""viewing_time"":2582},{""page_index"":2,""viewing_time"":1124},{""page_index"":3,""viewing_time"":500}]","","","","","","","","","","","","",""
"","","","","","instructions","11","32287","0.0-7.0","960","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":960}]","","","","","","","","","","","","",""
"","","","","","psychophysics","12","33766","0.0-8.0-0.0-0.0","473","","f","","","","","","","","","","","","","key","f","16.670114942528727","581.8181692076126","359.9999921972103","prac_self","f","true","img/C_28.png","自我","非自我","生人",""
"","","","","","html-keyboard-response","13","34069","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","14","35979","0.0-8.0-0.0-0.1","906","","f","","","","","","","","","","","","","key","f","16.669026548672555","581.8181692076126","359.9999921972103","prac_self","f","true","img/S_28.png","自我","非自我","朋友",""
