subj_idx,age,朋友_match_friend,生人_match_friend,自我_match_friend,朋友_mismatch_friend,生人_mismatch_friend,自我_mismatch_friend,朋友_match_self,生人_match_self,自我_match_self,朋友_mismatch_self,生人_mismatch_self,自我_mismatch_self,朋友_match_stranger,生人_match_stranger,自我_match_stranger,朋友_mismatch_stranger,生人_mismatch_stranger,自我_mismatch_stranger,,,,朋友_match,朋友_mismatch,,生人_match,生人_mismatch,,自我_match,自我_mismatch,,朋友_friend,朋友_self,朋友_stranger,,生人_friend,生人_self,生人_stranger,,自我_friend,自我_self,自我_stranger
19,24,785.1454545,915.1730769,840.3636364,925.8301887,924.7413793,981.3898305,871.3333333,905.1521739,743.9649123,984.8181818,978.6140351,876.8166667,909.3673469,780.7017544,732.6779661,957.8867925,880.3454545,902.0178571,,,,855.2820449,956.1783877,,867.0090017,927.9002896,,772.3355049,920.0747848,,855.4878216,928.0757576,933.6270697,,919.9572281,941.8831045,830.5236045,,910.8767335,810.3907895,817.3479116
20,23,700.1818182,827.0263158,778.7045455,760.28,792.0172414,831.637931,737.8333333,839.1590909,668.8596491,778,777.7222222,885.2820513,752.2653061,711.5090909,692,766,836.0930233,848.7017544,,,,730.0934859,768.0933333,,792.5648325,801.9441623,,713.1880649,855.2072456,,730.2309091,757.9166667,759.1326531,,809.5217786,808.4406566,773.8010571,,805.1712383,777.0708502,770.3508772
21,20,707.6779661,669.75,733.8070175,841.7021277,747.8103448,826.3207547,781.6976744,612.8888889,597.4915254,840.3928571,752.7777778,778.5789474,755.1052632,612.4827586,664.7627119,859.9482759,685.9166667,773.8947368,,,,748.1603012,847.3477536,,631.7072158,728.8349298,,665.3537516,792.9314796,,774.6900469,811.0452658,807.5267696,,708.7801724,682.8333334,649.1997127,,780.0638861,688.0352364,719.3287244
22,21,817.1886792,814.3035714,862.9259259,955.8301887,971.2553191,1022.465517,805.0925926,801.3103448,818.1206897,957.1551724,1010.333333,1048.630435,794.1607143,790.2678571,889.5535714,893.1833333,1026.1,978.2678571,,,,805.480662,935.3895648,,801.9605911,1002.562884,,856.866729,1016.454603,,886.509434,881.1238825,843.6720238,,892.7794453,905.8218389,908.1839286,,942.6957215,933.3755624,933.9107143
23,22,764.3103448,920.4,756.779661,898.9534884,944.6034483,903.5964912,968.9183673,863.3333333,876.8333333,1023.714286,933.9607843,978.6545455,871.62,760.6610169,719.6724138,953.0208333,820.6153846,877.4827586,,,,868.282904,958.5628692,,848.1314501,899.7265391,,784.4284694,919.9112651,,831.6319166,996.3163267,912.3204167,,932.5017242,898.6470588,790.6382008,,830.1880761,927.7439394,798.5775862
24,23,875.8305085,931.1454545,858.6333333,968.9615385,1033.381818,1004.483333,905.9622642,951.3272727,831.9666667,1047.535714,1021.033898,928.5294118,938.637931,879.0181818,834.05,1027.051724,990.7358491,1010.37931,,,,906.8102346,1014.516326,,920.4969697,1015.050522,,841.55,981.1306849,,922.3960235,976.7489891,982.8448275,,982.2636363,986.1805854,934.8770155,,931.5583332,880.2480393,922.214655
25,23,740.5964912,911.56,727.3166667,818.2222222,909.7321429,886.1206897,769.6666667,828.0338983,652.9827586,841.2586207,820.5,792.037037,802.3508772,710.4576271,716.4827586,811.6949153,779.8679245,836.2068966,,,,770.871345,823.7252527,,816.6838418,836.7000225,,698.9273946,838.1215411,,779.4093567,805.4626437,807.0228963,,910.6460715,824.2669492,745.1627758,,806.7186782,722.5098978,776.3448276
26,23,734.8,817.75,798.55,919.6304348,864.5666667,959.3,781.8474576,899.0909091,710.6101695,893.559322,945.8214286,919.02,826.6851852,759.2678571,789.1071429,1001.206897,980.0192308,1032.537037,,,,781.1108809,938.1322179,,825.3695887,930.1357754,,766.0891041,970.285679,,827.2152174,837.7033898,913.9460411,,841.1583334,922.4561689,869.643544,,878.925,814.8150848,910.82209
29,22,1042.528302,960.1428571,977.4509804,981.2,1163.5,1168.909091,935.9811321,925.5333333,951.3571429,1165.268293,1154.238095,1114.766667,988.4545455,973.75,1015.843137,1160.347826,1013.580645,1166.05,,,,988.9879932,1102.27204,,953.1420635,1110.43958,,981.5504201,1149.908586,,1011.864151,1050.624713,1074.401186,,1061.821429,1039.885714,993.6653225,,1073.180036,1033.061905,1090.946569
17,21,773.6153846,813.6851852,852.8545455,908.0731707,960.787234,1014.428571,940.2884615,833.2884615,828.4693878,1065.083333,1055.625,1069.621622,814.4666667,761.7894737,856.9411765,922.3673469,906.972973,973.04,,,,842.7901709,965.1746169,,802.9210401,974.4617357,,846.0883699,1019.030064,,840.8442777,1002.685897,868.4170068,,887.2362096,944.4567308,834.3812234,,933.6415583,949.0455049,914.9905883
27,23,802.1929825,854.1153846,860.6,890.254902,886.8947368,895.6181818,862.7241379,855.3272727,762.4035088,909.35,921.7454545,925.4255319,804.8596491,768.7966102,850.3396226,936.4181818,881.9423077,924.5555556,,,,823.2589232,912.0076946,,826.0797558,896.860833,,824.4477105,915.1997564,,846.2239423,886.037069,870.6389155,,870.5050607,888.5363636,825.369459,,878.1090909,843.9145204,887.4475891
