"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","672","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","35133","0.0-1.0","34458","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","37229","0.0-2.0","2095","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","37230","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","44397","0.0-3.0-1.0","7164","","{""Q0"":""18""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","45614","0.0-3.0-2.0","1215","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","48718","0.0-3.0-3.0","3103","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","53052","0.0-3.0-4.0","4333","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","236404","0.0-4.0","183351","","","","85.6","53.98","538.1764450243288","6.283143717771721","454.32","10.763528900486577","50","0.7543994237459545","31.04","18.26","","","","","","","","","","","",""
"true","","","","","fullscreen","9","244654","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","317633","0.0-6.0","72977","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":10422},{""page_index"":1,""viewing_time"":48815},{""page_index"":2,""viewing_time"":3819},{""page_index"":3,""viewing_time"":9922}]","","","","","","","","","","",""
"","","","","","psychophysics","11","320153","0.0-7.0-0.0","null","","null","","","","","","","","","","","","","key","null","15.201711656441812","800","496","f","false","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","12","320664","0.0-7.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","323830","0.0-7.0-0.1","null","","null","","","","","","","","","","","","","key","null","15.138458937197893","800","496","j","false","img/S_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","14","324824","0.0-7.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","326159","0.0-7.0-0.2","312","","j","","","","","","","","","","","","","key","j","15.611202380952559","800","496","f","false","img/C_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","16","326673","0.0-7.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","328096","0.0-7.0-0.3","420","","f","","","","","","","","","","","","","key","f","14.86049999999987","800","496","f","true","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","18","328601","0.0-7.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
