"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","html-keyboard-response","316","768420","0.0-14.3-0.3-1.85","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","317","770250","0.0-14.3-0.3-0.86","829","","d","","","","","","","","","","","","","key","d","16.647611111110397","960","536","d","true","img/S_28.png","朋友","prac_self","","朋友"
"","","","","","html-keyboard-response","318","770551","0.0-14.3-0.3-1.86","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","319","772532","0.0-14.3-0.3-0.87","979","","d","","","","","","","","","","","","","key","d","16.64960683760647","960","536","d","true","img/H_28.png","生人","prac_self","","生人"
"","","","","","html-keyboard-response","320","772835","0.0-14.3-0.3-1.87","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","321","774670","0.0-14.3-0.3-0.88","832","","d","","","","","","","","","","","","","key","d","16.647504587155776","960","536","j","false","img/C_28.png","朋友","prac_self","","自我"
"","","","","","html-keyboard-response","322","774972","0.0-14.3-0.3-1.88","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","323","776876","0.0-14.3-0.3-0.89","903","","j","","","","","","","","","","","","","key","j","16.659353982300736","960","536","j","true","img/C_28.png","生人","prac_self","","自我"
"","","","","","html-keyboard-response","324","777178","0.0-14.3-0.3-1.89","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","325","779195","0.0-14.3-0.3-0.90","1015","","f","","","","","","","","","","","","","key","f","16.64883333333322","960","536","d","false","img/H_28.png","生人","prac_self","","生人"
"","","","","","html-keyboard-response","326","779497","0.0-14.3-0.3-1.90","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","327","781417","0.0-14.3-0.3-0.91","918","","d","","","","","","","","","","","","","key","d","16.648780701754475","960","536","d","true","img/S_28.png","朋友","prac_self","","朋友"
"","","","","","html-keyboard-response","328","781718","0.0-14.3-0.3-1.91","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","329","783780","0.0-14.3-0.3-0.92","1061","","f","","","","","","","","","","","","","key","f","16.649463414633836","960","536","f","true","img/H_28.png","自我","prac_self","","生人"
